date,account_value
2021-02-01,1000000.0
2021-02-02,999372.5780000002
2021-02-03,998220.7690000002
2021-02-04,997322.5290000002
2021-02-05,997497.5840000001
2021-02-08,996279.5920000001
2021-02-09,998270.8410000001
2021-02-10,998404.7560000002
2021-02-18,1000935.6500000003
2021-02-19,1002425.2260000001
2021-02-22,1001911.6350000001
2021-02-23,1000149.0940000002
2021-02-24,1000411.7120000002
2021-02-25,1005728.3070000003
2021-02-26,1001906.4920000002
2021-03-01,999372.9490000003
2021-03-02,995439.5740000003
2021-03-03,997721.4440000004
2021-03-04,994396.1790000004
2021-03-05,995808.0980000002
2021-03-08,989994.9420000002
2021-03-09,985047.0760000001
2021-03-10,983802.4450000001
2021-03-11,987860.8700000001
2021-03-12,991856.118
2021-03-15,991043.199
2021-03-16,997738.3119999999
2021-03-17,996699.167
2021-03-18,994138.06
2021-03-19,987803.044
2021-03-22,991720.2459999999
2021-03-23,985538.3169999999
2021-03-24,982133.5869999998
2021-03-25,979777.9629999999
2021-03-26,983437.4099999999
2021-03-29,985419.7489999997
2021-03-30,984291.0309999997
2021-03-31,977396.3439999998
2021-04-01,980005.8429999996
2021-04-02,981085.2729999997
2021-04-06,983272.6749999997
2021-04-07,984121.0219999999
2021-04-08,980790.3479999998
2021-04-09,973123.7529999998
2021-04-12,968535.3359999998
2021-04-13,970593.0229999997
2021-04-14,970304.6639999996
2021-04-15,965404.3109999998
2021-04-16,971248.0619999997
2021-04-19,982113.6909999996
2021-04-20,972601.0979999996
2021-04-21,972588.6949999997
2021-04-22,968468.2919999997
2021-04-23,966494.9679999996
2021-04-26,946394.6809999996
2021-04-27,923667.7659999996
2021-04-28,925672.2639999996
2021-04-29,928168.7259999996
2021-04-30,929201.1439999996
2021-05-06,916858.5439999998
2021-05-07,902687.1529999997
2021-05-10,900479.9979999997
2021-05-11,906358.8789999996
2021-05-12,909056.6649999996
2021-05-13,903093.4079999996
2021-05-14,923687.2439999996
2021-05-17,932387.7629999996
2021-05-18,933247.1499999996
2021-05-19,927659.5239999995
2021-05-20,929372.9799999995
2021-05-21,919421.4109999995
2021-05-24,925657.9839999995
2021-05-25,949046.4689999996
2021-05-26,948231.6289999995
2021-05-27,950217.7999999996
2021-05-28,950280.9439999996
2021-05-31,949509.0869999995
2021-06-01,949728.2399999995
2021-06-02,946752.3899999995
2021-06-03,961592.5779999995
2021-06-04,952700.5779999995
2021-06-07,936613.4592399995
2021-06-08,936058.1592399996
2021-06-09,935650.4792399995
2021-06-10,951885.1192399996
2021-06-11,947242.3192399995
2021-06-15,949814.9992399996
2021-06-16,947526.6992399995
2021-06-17,944870.3392399997
2021-06-18,956581.8992399996
2021-06-21,949107.3992399996
2021-06-22,955252.8792399996
2021-06-23,956528.9792399995
2021-06-24,956284.2992399995
2021-06-25,966089.6192399996
2021-06-28,946317.2192399995
2021-06-29,924105.5992399995
2021-06-30,928202.5392399996
2021-07-01,922650.5592399996
2021-07-02,893409.9192399996
2021-07-05,892053.0192399996
2021-07-06,902850.7192399995
2021-07-07,904962.6592399996
2021-07-08,894069.2392399996
2021-07-09,900039.1592399996
2021-07-12,902668.9992399996
2021-07-13,900339.6792399996
2021-07-14,877870.9992399996
2021-07-15,874729.1792399995
2021-07-16,882110.2392399996
2021-07-19,881059.5792399995
2021-07-20,873600.7192399995
2021-07-21,868566.1392399995
2021-07-22,870558.3992399996
2021-07-23,862903.3192399995
2021-07-26,825562.2792399996
2021-07-27,805635.2392399996
2021-07-28,793813.6992399995
2021-07-29,793337.4992399996
2021-07-30,782158.9992399996
2021-08-02,789643.5592399995
2021-08-03,790671.1992399995
2021-08-04,787408.2992399996
2021-08-05,789014.5192399996
2021-08-06,790703.0392399995
2021-08-09,809017.6992399995
2021-08-10,813099.9792399995
2021-08-11,822859.2992399995
2021-08-12,820425.3392399995
2021-08-13,816151.7592399996
2021-08-16,815503.9392399995
2021-08-17,821067.9392399995
2021-08-18,838596.5792399995
2021-08-19,828591.3992399996
2021-08-20,816882.2392399996
2021-08-23,815924.4992399996
2021-08-24,822738.5592399996
2021-08-25,841616.2192399995
2021-08-26,839521.3992399996
2021-08-27,836281.9592399996
2021-08-30,824720.1792399996
2021-08-31,864075.5792399995
2021-09-01,885302.2592399996
2021-09-02,891238.6192399996
2021-09-03,896485.0192399996
2021-09-06,900924.8592399996
2021-09-07,920362.2192399995
2021-09-08,911155.1992399996
2021-09-09,908843.8992399996
2021-09-10,921566.8792399996
2021-09-13,912741.1192399996
2021-09-14,893442.2392399996
2021-09-15,882865.0592399995
2021-09-16,867089.3592399996
2021-09-17,887897.1192399996
2021-09-22,885564.6592399995
2021-09-23,891810.1392399995
2021-09-24,890743.5592399996
2021-09-27,885387.3592399997
2021-09-28,890651.7992399995
2021-09-29,888386.0392399995
2021-09-30,886776.6992399995
2021-10-08,913453.4992399996
2021-10-11,938589.9392399996
2021-10-12,937693.5392399996
2021-10-13,938068.1192399996
2021-10-14,959291.4992399996
2021-10-15,963392.6392399995
2021-10-18,948367.4792399995
2021-10-19,945883.5592399995
2021-10-20,943645.0592399996
2021-10-21,949085.0192399996
2021-10-22,947563.3392399995
2021-10-25,944684.1192399996
2021-10-26,944345.3392399997
2021-10-27,938317.9592399995
2021-10-28,935315.8592399996
2021-10-29,957510.2392399996
2021-11-01,939886.0992399995
2021-11-02,931585.4792399995
2021-11-03,934783.1192399997
2021-11-04,928579.7992399995
2021-11-05,940021.2792399996
2021-11-08,976683.0792399996
2021-11-09,946776.7992399995
2021-11-10,937199.0192399996
2021-11-11,961191.2592399996
2021-11-12,963995.8992399996
2021-11-15,947497.1992399996
2021-11-16,929936.6392399996
2021-11-17,934987.4792399995
2021-11-18,923218.0392399996
2021-11-19,931221.2192399995
2021-11-22,927476.7992399996
2021-11-23,930129.2592399996
2021-11-24,931534.9392399996
2021-11-25,928171.7992399996
2021-11-26,906140.5392399995
2021-11-29,878294.9992399996
2021-11-30,869564.0992399995
2021-12-01,891262.8792399995
2021-12-02,896574.0592399996
2021-12-03,912728.6192399994
2021-12-06,919427.5392399996
2021-12-07,930595.1592399995
2021-12-08,937960.6192399996
2021-12-09,952187.7392399996
2021-12-10,942510.8792399996
2021-12-13,934743.0592399996
2021-12-14,921587.1592399995
2021-12-15,916616.2392399996
2021-12-16,918230.3192399996
2021-12-17,906602.2592399996
2021-12-20,901534.1992399995
2021-12-21,916436.0392399995
2021-12-22,913298.8192399995
2021-12-23,914112.0592399995
2021-12-24,915774.0992399995
2021-12-27,928991.2792399996
2021-12-28,926593.6192399996
2021-12-29,928254.0992399995
2021-12-30,939209.4192399995
2021-12-31,939137.2392399996
