date,account_value
2021-02-01,1000000.0
2021-02-02,986475.4648910398
2021-02-03,989459.2067152894
2021-02-04,982347.1172795789
2021-02-05,994416.1738416835
2021-02-08,1005615.0401917768
2021-02-09,1018013.2917334433
2021-02-10,1014717.8561066763
2021-02-18,1030423.354769082
2021-02-19,1025428.0867128443
2021-02-22,1008124.7665969566
2021-02-23,1020474.8502900342
2021-02-24,997283.8749397865
2021-02-25,1016456.2199341661
2021-02-26,972002.3227735023
2021-03-01,966855.7811688543
2021-03-02,950692.8463917226
2021-03-03,984542.2546257916
2021-03-04,969317.2677041399
2021-03-05,962099.278141986
2021-03-08,937686.9655064907
2021-03-09,910264.9689727897
2021-03-10,918066.9504863037
2021-03-11,948867.2503599696
2021-03-12,962649.2760375235
2021-03-15,954062.2190899035
2021-03-16,968885.2118971933
2021-03-17,962436.2658267175
2021-03-18,970407.9295341249
2021-03-19,939993.404577
2021-03-22,964164.388224678
2021-03-23,954868.8288941174
2021-03-24,935715.9440562703
2021-03-25,922891.8593483838
2021-03-26,934921.1169375064
2021-03-29,930821.2033371445
2021-03-30,941043.9937530446
2021-03-31,924053.7790572472
2021-04-01,927071.9614694085
2021-04-02,927176.9253188906
2021-04-06,927307.0246037161
2021-04-07,922262.0042301854
2021-04-08,919890.5011130027
2021-04-09,910278.0336374639
2021-04-12,904560.2046396065
2021-04-13,904577.3601143883
2021-04-14,899469.9980995016
2021-04-15,894402.6367172503
2021-04-16,901637.1047539215
2021-04-19,928494.7279396652
2021-04-20,923831.665353526
2021-04-21,930371.574331849
2021-04-22,924892.1070440551
2021-04-23,933525.8914141702
2021-04-26,911283.2493915423
2021-04-27,901979.292376853
2021-04-28,900372.9868136768
2021-04-29,919848.9736287077
2021-04-30,910905.5840739114
2021-05-06,915307.1084941321
2021-05-07,914255.6550624305
2021-05-10,910091.7865434875
2021-05-11,909870.6235209884
2021-05-12,908845.8179720291
2021-05-13,898415.649411351
2021-05-14,930313.2226707737
2021-05-17,939325.8535079169
2021-05-18,941436.3658210969
2021-05-19,928977.9476814771
2021-05-20,936435.926635181
2021-05-21,917308.9694670286
2021-05-24,922342.8985596343
2021-05-25,964680.5072984805
2021-05-26,974015.3758571508
2021-05-27,971344.9411126443
2021-05-28,975784.7376541869
2021-05-31,971508.876006422
2021-06-01,965966.6349494442
2021-06-02,964519.6405122832
2021-06-03,954761.1570435781
2021-06-04,964221.5011193117
2021-06-07,956736.9318999093
2021-06-08,954451.6959015066
2021-06-09,950563.2512560297
2021-06-10,950301.3385793266
2021-06-11,944011.5307837346
2021-06-15,928163.3002996574
2021-06-16,932329.1133938278
2021-06-17,926948.7042085301
2021-06-18,926931.8512232284
2021-06-21,914012.8712442581
2021-06-22,935416.3354286827
2021-06-23,929832.5668874099
2021-06-24,932121.1302700904
2021-06-25,951605.0826414222
2021-06-28,928942.6860506916
2021-06-29,911924.0085352735
2021-06-30,920278.6671368598
2021-07-01,933718.8797022672
2021-07-02,892455.281467757
2021-07-05,887973.3956757428
2021-07-06,897366.5150656613
2021-07-07,896551.1906835774
2021-07-08,862878.2058375225
2021-07-09,860896.1939362035
2021-07-12,866853.2344955198
2021-07-13,863450.4295076929
2021-07-14,844570.7790956491
2021-07-15,865263.5226409483
2021-07-16,865561.6044168762
2021-07-19,863825.1563560918
2021-07-20,854821.11045847
2021-07-21,850151.5083378631
2021-07-22,862051.8189830355
2021-07-23,857900.6694265036
2021-07-26,821600.0737037226
2021-07-27,796365.9691729802
2021-07-28,805255.083472548
2021-07-29,811374.316010068
2021-07-30,791677.5983003662
2021-08-02,814021.7183413284
2021-08-03,816914.7565344282
2021-08-04,814379.5922044254
2021-08-05,811343.5773172184
2021-08-06,820233.2389787022
2021-08-09,844466.6362890407
2021-08-10,857346.9696359043
2021-08-11,865567.9134831688
2021-08-12,861266.0665486649
2021-08-13,866351.980619009
2021-08-16,859075.3801190833
2021-08-17,847205.9234008484
2021-08-18,888969.6231709936
2021-08-19,866979.2717787597
2021-08-20,858141.5662864929
2021-08-23,868248.4312103344
2021-08-24,872461.663131525
2021-08-25,864842.9182214505
2021-08-26,846736.3877069312
2021-08-27,854230.2764831628
2021-08-30,827990.495261992
2021-08-31,847516.7961604923
2021-09-01,881333.1898284828
2021-09-02,890517.6058816167
2021-09-03,892567.8795755386
2021-09-06,889572.1534061853
2021-09-07,910111.6644235869
2021-09-08,901477.3903085999
2021-09-09,897847.1852532863
2021-09-10,921629.5851535394
2021-09-13,916513.364518174
2021-09-14,891002.208432479
2021-09-15,879912.4975718015
2021-09-16,867373.8621029973
2021-09-17,877964.9262583943
2021-09-22,859036.1285080172
2021-09-23,857966.857005531
2021-09-24,854635.8860670205
2021-09-27,852511.5168548146
2021-09-28,868453.1013540552
2021-09-29,876903.8363761229
2021-09-30,866148.664475817
2021-10-08,879567.371479638
2021-10-11,903788.1650616528
2021-10-12,900408.5797424638
2021-10-13,899013.8439639995
2021-10-14,897320.104536907
2021-10-15,907337.4037662129
2021-10-18,889086.0672164465
2021-10-19,898121.788083879
2021-10-20,892238.1084255391
2021-10-21,906825.2458641692
2021-10-22,914284.2187118779
2021-10-25,916008.1350656435
2021-10-26,919893.6988589317
2021-10-27,907748.5733947941
2021-10-28,900490.7992639191
2021-10-29,906286.1663984255
2021-11-01,903346.0838890905
2021-11-02,880526.5224072249
2021-11-03,876946.7178609463
2021-11-04,876109.9455343202
2021-11-05,877730.669762699
2021-11-08,883026.5115320078
2021-11-09,873232.2190706016
2021-11-10,865285.6763942769
2021-11-11,897261.018258524
2021-11-12,891781.7814389055
2021-11-15,892675.1481067714
2021-11-16,880412.584703176
2021-11-17,875264.559459651
2021-11-18,867219.0739149174
2021-11-19,880453.4928042503
2021-11-22,872692.937945205
2021-11-23,876392.4130913871
2021-11-24,875886.0168937204
2021-11-25,871755.9839837293
2021-11-26,853115.4875161008
2021-11-29,843162.4312905949
2021-11-30,837276.9799081589
2021-12-01,848981.8823493959
2021-12-02,860545.2629268806
2021-12-03,869081.2567694621
2021-12-06,880232.2145476638
2021-12-07,888051.3803444812
2021-12-08,891116.9239666188
2021-12-09,906637.8032165347
2021-12-10,904495.5439122393
2021-12-13,895168.1223564761
2021-12-14,877235.480080045
2021-12-15,875101.6904811831
2021-12-16,879430.5886177355
2021-12-17,870636.1535253376
2021-12-20,866782.2647018599
2021-12-21,872093.4758175936
2021-12-22,864231.7742382155
2021-12-23,867688.0766511798
2021-12-24,863223.2022913375
2021-12-27,862241.9120146834
2021-12-28,865237.1196306424
2021-12-29,845038.629491036
2021-12-30,856408.1287162452
2021-12-31,858285.176768082
