date,account_value
2021-02-01,1000000.0
2021-02-02,999320.6610000001
2021-02-03,998447.984
2021-02-04,997990.735
2021-02-05,998814.633
2021-02-08,997708.321
2021-02-09,999336.227
2021-02-10,999088.859
2021-02-18,1002672.5240000001
2021-02-19,1002961.7390000001
2021-02-22,1002224.92
2021-02-23,1002395.1730000001
2021-02-24,1000218.4090000001
2021-02-25,1006480.8250000001
2021-02-26,998273.7580000001
2021-03-01,997057.2760000002
2021-03-02,992240.8740000002
2021-03-03,1000299.7720000002
2021-03-04,997277.1950000003
2021-03-05,996329.7850000003
2021-03-08,988413.4240000002
2021-03-09,982244.4580000002
2021-03-10,982558.7850000001
2021-03-11,992456.097
2021-03-12,1000071.978
2021-03-15,1000705.541
2021-03-16,1009893.078
2021-03-17,1005286.261
2021-03-18,1005577.6140000001
2021-03-19,989871.956
2021-03-22,999395.839
2021-03-23,992807.4040000001
2021-03-24,985207.1810000001
2021-03-25,979350.1950000001
2021-03-26,984672.386
2021-03-29,982871.4200000002
2021-03-30,985915.5050000001
2021-03-31,979313.5050000001
2021-04-01,980323.6830000002
2021-04-02,980775.8340000003
2021-04-06,982839.9730000002
2021-04-07,982045.0600000003
2021-04-08,979383.1660000003
2021-04-09,972315.3350000004
2021-04-12,970627.6680000003
2021-04-13,971692.0390000003
2021-04-14,966938.3860000003
2021-04-15,961235.8360000002
2021-04-16,967652.4070000002
2021-04-19,986599.8440000003
2021-04-20,979083.8940000002
2021-04-21,984576.0940000003
2021-04-22,978736.1860000002
2021-04-23,980946.3900000001
2021-04-26,955442.5520000001
2021-04-27,934472.1860000002
2021-04-28,934233.2010000002
2021-04-29,941685.2200000002
2021-04-30,936508.1080000002
2021-05-06,929649.0850000002
2021-05-07,921594.1780000002
2021-05-10,915967.4050000003
2021-05-11,921284.7240000002
2021-05-12,923278.7510800002
2021-05-13,915886.4010800003
2021-05-14,935225.7810800002
2021-05-17,951337.7110800003
2021-05-18,955121.0510800002
2021-05-19,941496.2010800001
2021-05-20,945283.6510800003
2021-05-21,930545.2510800002
2021-05-24,932179.0810800003
2021-05-25,968910.4510800001
2021-05-26,976983.4610800003
2021-05-27,974481.8110800002
2021-05-28,977161.4610800003
2021-05-31,974155.9310800002
2021-06-01,971320.4410800003
2021-06-02,974259.9810800003
2021-06-03,978148.2010800003
2021-06-04,976768.8310800003
2021-06-07,958293.2010800003
2021-06-08,957046.1810800004
2021-06-09,956225.6910800004
2021-06-10,968169.4510800003
2021-06-11,968042.9110800003
2021-06-15,962787.2010800001
2021-06-16,965446.6810800002
2021-06-17,959762.2010800003
2021-06-18,964958.2310800002
2021-06-21,953499.9110800002
2021-06-22,969076.5810800003
2021-06-23,965522.1010800003
2021-06-24,966203.7610800002
2021-06-25,979410.9610800003
2021-06-28,954921.7010800004
2021-06-29,934405.8810800003
2021-06-30,940028.6910800003
2021-07-01,948733.4010800003
2021-07-02,913541.4710800002
2021-07-05,912527.7010800003
2021-07-06,924187.5810800003
2021-07-07,925511.6510800003
2021-07-08,897704.9310800002
2021-07-09,899987.5810800003
2021-07-12,902645.9610800003
2021-07-13,899641.6310800003
2021-07-14,877970.6510800003
2021-07-15,886899.9110800002
2021-07-16,891635.6810800002
2021-07-19,888975.0510800002
2021-07-20,879236.5310800002
2021-07-21,869728.3010800002
2021-07-22,873284.1510800003
2021-07-23,865109.4710800002
2021-07-26,825486.3410800003
2021-07-27,803298.4710800003
2021-07-28,802287.2110800003
2021-07-29,804046.8510800003
2021-07-30,788656.5410800002
2021-08-02,798021.6110800003
2021-08-03,797246.3710800003
2021-08-04,791529.0810800003
2021-08-05,793559.2910800002
2021-08-06,799089.3310800003
2021-08-09,819872.6610800003
2021-08-10,828983.1110800003
2021-08-11,841384.9410800003
2021-08-12,837759.5210800002
2021-08-13,835217.8210800003
2021-08-16,833998.8110800002
2021-08-17,831330.9010800002
2021-08-18,859208.4210800003
2021-08-19,843344.8210800003
2021-08-20,834574.2110800003
2021-08-23,838004.2710800002
2021-08-24,840935.6810800004
2021-08-25,852278.7310800002
2021-08-26,841260.1610800003
2021-08-27,842812.5310800002
2021-08-30,823835.1510800003
2021-08-31,849945.4010800003
2021-09-01,870345.1310800003
2021-09-02,879296.1210800003
2021-09-03,889051.5210800002
2021-09-06,885758.1210800003
2021-09-07,909921.8310800003
2021-09-08,902070.8310800003
2021-09-09,899480.9810800002
2021-09-10,919077.4410800003
2021-09-13,912657.4410800003
2021-09-14,890342.9810800002
2021-09-15,879714.2010800003
2021-09-16,867415.7810800002
2021-09-17,883265.7910800002
2021-09-22,872829.5110800002
2021-09-23,870266.7610800002
2021-09-24,869645.3510800003
2021-09-27,869860.7910800002
2021-09-28,882495.1010800003
2021-09-29,887550.0010800003
2021-09-30,881374.2710800003
2021-10-08,902660.4310800002
2021-10-11,935974.5610800002
2021-10-12,940254.9910800002
