date,account_value
2021-02-01,1000000.0
2021-02-02,999952.1300000001
2021-02-03,1000060.2980000001
2021-02-04,999777.407
2021-02-05,1000383.607
2021-02-08,1000898.6529999998
2021-02-09,1001266.5939999999
2021-02-10,1000640.472
2021-02-18,1002126.438
2021-02-19,1002485.217
2021-02-22,1001004.955
2021-02-23,1002127.84
2021-02-24,999741.622
2021-02-25,1002929.6020000001
2021-02-26,996703.3360000001
2021-03-01,994218.5140000002
2021-03-02,991872.8570000002
2021-03-03,997898.3460000004
2021-03-04,995332.4800000003
2021-03-05,993365.7560000003
2021-03-08,989236.1350000002
2021-03-09,984102.7200000002
2021-03-10,985215.5490000002
2021-03-11,992566.3270000003
2021-03-12,995772.7850000001
2021-03-15,993588.109
2021-03-16,998726.52
2021-03-17,995989.733
2021-03-18,997856.0470000001
2021-03-19,989842.2940000001
2021-03-22,996522.817
2021-03-23,994498.117
2021-03-24,989496.482
2021-03-25,985164.003
2021-03-26,987534.655
2021-03-29,986195.2369999998
2021-03-30,988489.8569999998
2021-03-31,984965.413
2021-04-01,985526.064
2021-04-02,985204.7000000001
2021-04-06,985355.3440000002
2021-04-07,982926.984
2021-04-08,982329.6830000001
2021-04-09,978708.3960000001
2021-04-12,979491.1930000001
2021-04-13,979256.9720000002
2021-04-14,977453.7560000003
2021-04-15,975188.5790000003
2021-04-16,979067.4500000003
2021-04-19,991259.2400000002
2021-04-20,988749.7810000002
2021-04-21,992463.3720000002
2021-04-22,990945.8900000001
2021-04-23,993480.4370000002
2021-04-26,984344.9360000002
2021-04-27,983455.6040000002
2021-04-28,982718.2880000002
2021-04-29,996844.9850000001
2021-04-30,992717.4340000001
2021-05-06,999256.9540000001
2021-05-07,998827.3630000001
2021-05-10,998329.7790000001
2021-05-11,998754.2030000001
2021-05-12,996161.6200000001
2021-05-13,990648.0780000002
2021-05-14,1015533.6220000002
2021-05-17,1016513.783
2021-05-18,1018580.929
2021-05-19,1009187.044
2021-05-20,1015594.297
2021-05-21,1001234.457
2021-05-24,1004064.822
2021-05-25,1039335.1470000001
2021-05-26,1045383.9820000001
2021-05-27,1041969.734
2021-05-28,1046309.5320000001
2021-05-31,1043031.2720000001
2021-06-01,1032703.055
2021-06-02,1030664.9720000001
2021-06-03,1019752.915
2021-06-04,1032622.996
2021-06-07,1029615.916
2021-06-08,1026079.873
2021-06-09,1023496.873
2021-06-10,1021470.904
2021-06-11,1016700.959
2021-06-15,996481.07
2021-06-16,1006128.416
2021-06-17,1001014.651
2021-06-18,997177.944
2021-06-21,983758.28
2021-06-22,999127.765
2021-06-23,995254.081
2021-06-24,998964.439
2021-06-25,1017942.757
2021-06-28,995322.873
2021-06-29,981585.227
2021-06-30,986037.7239999999
2021-07-01,1006020.175
2021-07-02,961856.422
2021-07-05,957347.115
2021-07-06,969457.853
2021-07-07,966286.471
2021-07-08,932802.12
2021-07-09,927847.86525
2021-07-12,935158.73106
2021-07-13,929382.1110599999
