date,account_value
2020-02-28,1000000.0
2020-03-02,1000324.465
2020-03-03,1000255.5970000001
2020-03-04,1000582.7590000001
2020-03-05,1001497.809
2020-03-06,1000313.6279999999
2020-03-09,998666.6819999999
2020-03-10,999750.009
2020-03-11,998517.1799999999
2020-03-12,997446.504
2020-03-13,996297.946
2020-03-16,991636.5020000001
2020-03-17,992420.4810000001
2020-03-18,989422.3940000003
2020-03-19,986684.5370000002
2020-03-20,991311.8750000003
2020-03-23,988551.9040000003
2020-03-24,993066.1050000004
2020-03-25,996262.0400000005
2020-03-26,995740.7970000006
2020-03-27,996892.5810000005
2020-03-30,996800.3070000005
2020-03-31,994988.0370000005
2020-04-01,994818.8490000005
2020-04-02,996634.6680000005
2020-04-03,996026.4110000004
2020-04-07,1001374.1780000005
2020-04-08,1000177.7390000005
2020-04-09,1000645.3440000006
2020-04-10,1000056.9320000006
2020-04-13,1000948.5400000006
2020-04-14,1006520.1180000008
2020-04-15,1002927.516000001
2020-04-16,1003843.026000001
2020-04-17,1007268.5080000011
2020-04-20,1007854.8890000011
2020-04-21,1004966.2530000011
2020-04-22,1005216.6970000011
2020-04-23,1002662.1340000011
2020-04-24,1001249.6380000012
2020-04-27,1007041.1780000011
2020-04-28,1011378.573000001
2020-04-29,1015905.862000001
2020-04-30,1018477.0430000009
2020-05-06,1018248.1640000009
2020-05-07,1016529.290000001
2020-05-08,1021488.4540000011
2020-05-11,1020727.510000001
2020-05-12,1019230.582000001
2020-05-13,1018339.685000001
2020-05-14,1012130.806000001
2020-05-15,1007889.0510000009
2020-05-18,1008556.3790000009
2020-05-19,1012946.694000001
2020-05-20,1011749.9260000009
2020-05-21,1008276.1800000009
2020-05-22,995667.4970000009
2020-05-25,994405.0390000009
2020-05-26,997586.6030000008
2020-05-27,992386.1120000009
2020-05-28,998197.709000001
2020-05-29,993614.209000001
2020-06-01,1009105.7840000009
2020-06-02,1008719.1090000009
2020-06-03,1010950.4400000009
2020-06-04,1009511.736000001
2020-06-05,1009767.0540000009
2020-06-08,1015051.368000001
2020-06-09,1018306.6030000008
2020-06-10,1014502.7900000009
2020-06-11,1008194.0320000008
2020-06-12,1005700.364000001
2020-06-15,997051.7310000008
2020-06-16,1005292.2180000009
2020-06-17,1002397.5920000009
2020-06-18,1002389.0050000009
2020-06-19,1007852.4180000009
2020-06-22,1002299.7590000009
2020-06-23,998937.172000001
2020-06-24,1005880.628000001
2020-06-29,998191.996000001
2020-06-30,1004744.460000001
2020-07-01,1024415.843000001
2020-07-02,1048310.986000001
2020-07-03,1085345.841000001
2020-07-06,1152486.255000001
2020-07-07,1152733.879000001
2020-07-08,1166469.500000001
2020-07-09,1159858.963000001
2020-07-10,1117484.5010000009
2020-07-13,1131334.515000001
2020-07-14,1113033.375000001
2020-07-15,1109711.436000001
2020-07-16,1071943.533000001
2020-07-17,1073344.0360000008
2020-07-20,1123589.524000001
2020-07-21,1116859.483000001
2020-07-22,1104627.5120000008
2020-07-23,1096091.6670000008
2020-07-24,1057867.909000001
2020-07-27,1054758.537000001
2020-07-28,1056062.196000001
2020-07-29,1079818.8420000009
2020-07-30,1070436.2550000008
2020-07-31,1075106.759000001
2020-08-03,1086332.2180000008
2020-08-04,1106674.570000001
2020-08-05,1093075.730000001
2020-08-06,1120822.017000001
2020-08-07,1116343.047000001
2020-08-10,1133603.118000001
2020-08-11,1116055.0320000008
2020-08-12,1110669.104000001
2020-08-13,1102217.7200400007
2020-08-14,1117631.4400400007
2020-08-17,1159078.8400400009
2020-08-18,1156929.0800400008
2020-08-19,1146464.200040001
2020-08-20,1128910.0000400008
2020-08-21,1128819.640040001
2020-08-24,1134182.7200400007
2020-08-25,1138341.7600400008
2020-08-26,1121728.0400400008
2020-08-27,1125285.9200400007
2020-08-28,1151195.640040001
2020-08-31,1137676.2800400008
2020-09-01,1138882.2400400008
2020-09-02,1144700.400040001
2020-09-03,1144239.5200400008
2020-09-04,1129875.9200400007
2020-09-07,1107798.6000400009
2020-09-08,1136454.1200400009
2020-09-09,1118519.2800400008
2020-09-10,1123576.8000400008
2020-09-11,1121518.160040001
2020-09-14,1120855.0800400008
2020-09-15,1141087.3600400009
2020-09-16,1143791.8400400009
2020-09-17,1145581.0000400008
2020-09-18,1175263.2400400008
2020-09-21,1170968.5600400008
2020-09-22,1153080.7200400007
2020-09-23,1148119.0400400008
2020-09-24,1133956.8000400008
2020-09-25,1133739.5200400008
2020-09-28,1140250.0400400008
2020-09-29,1129627.8800400007
2020-09-30,1125455.2800400008
2020-10-09,1141836.3200400008
2020-10-12,1191956.0800400008
2020-10-13,1192206.4400400007
2020-10-14,1188758.2000400007
2020-10-15,1199605.5600400008
2020-10-16,1208079.680040001
2020-10-19,1204847.8800400007
2020-10-20,1203504.6000400009
2020-10-21,1210530.9600400007
2020-10-22,1208320.5200400008
2020-10-23,1185223.5200400008
2020-10-26,1168815.8400400009
2020-10-27,1168579.160040001
2020-10-28,1167872.4800400008
2020-10-29,1181557.9600400007
2020-10-30,1164381.2400400008
2020-11-02,1164429.2400400008
2020-11-03,1173249.3600400009
2020-11-04,1196608.9200400007
2020-11-05,1212627.8800400007
2020-11-06,1218320.8800400007
2020-11-09,1237528.680040001
2020-11-10,1237370.160040001
2020-11-11,1251113.0000400008
2020-11-12,1243874.2400400008
2020-11-13,1221029.6000400009
2020-11-16,1231489.8400400009
2020-11-17,1242661.200040001
2020-11-18,1244980.0400400008
2020-11-19,1252838.2800400008
2020-11-20,1266872.7600400008
2020-11-23,1291118.640040001
2020-11-24,1280761.8000400008
2020-11-25,1263793.160040001
2020-11-26,1276071.8000400008
2020-11-27,1310667.8000400008
2020-11-30,1289552.400040001
2020-12-01,1342080.7200400007
2020-12-02,1347631.2800400008
2020-12-03,1333924.6000400009
2020-12-04,1322995.8400400009
2020-12-07,1301353.9200400007
2020-12-08,1294834.7200400007
2020-12-09,1279142.0000400008
2020-12-10,1277802.640040001
2020-12-11,1261861.0400400008
2020-12-14,1279499.0000400008
2020-12-15,1280620.5200400008
2020-12-16,1284300.3200400008
2020-12-17,1292363.9600400007
2020-12-18,1267840.0000400008
2020-12-21,1260978.0400400008
2020-12-22,1240276.8400400009
2020-12-23,1260833.3600400009
2020-12-24,1264108.9200400007
2020-12-25,1277468.4000400007
2020-12-28,1282992.2400400008
2020-12-29,1277475.5600400008
2020-12-30,1294873.2400400008
2020-12-31,1321627.7200400007
2021-01-04,1308330.8400400009
2021-01-05,1315875.8400400009
2021-01-06,1349343.4000400007
2021-01-07,1409269.2800400008
2021-01-08,1421322.9600400007
2021-01-11,1447961.1200400009
2021-01-12,1537526.2400400008
2021-01-13,1506000.2400400008
2021-01-14,1461230.8400400009
2021-01-15,1486866.0800400008
2021-01-18,1498931.4400400007
2021-01-19,1473462.8400400009
2021-01-20,1484770.640040001
2021-01-21,1517709.8400400009
2021-01-22,1489601.8400400009
2021-01-25,1514884.0400400008
2021-01-26,1470876.5600400008
2021-01-27,1487415.4400400007
2021-01-28,1456991.8000400008
2021-01-29,1450222.4000400007
2021-02-01,1478820.5600400008
2021-02-02,1476992.9200400007
2021-02-03,1501425.0800400008
2021-02-04,1484204.160040001
2021-02-05,1489804.3200400008
2021-02-08,1537286.5600400008
2021-02-09,1566884.4800400008
2021-02-10,1570638.9200400007
2021-02-18,1579812.4400400007
2021-02-19,1556432.5600400008
2021-02-22,1519793.5200400008
2021-02-23,1546042.4400400007
2021-02-24,1502590.640040001
2021-02-25,1520824.4400400007
2021-02-26,1452248.8000400008
2021-03-01,1461748.0400400008
2021-03-02,1436228.0400400008
2021-03-03,1473954.0400400008
2021-03-04,1438040.880040001
2021-03-05,1431446.8000400008
2021-03-08,1393757.4000400007
2021-03-09,1336449.2800400008
2021-03-10,1354011.640040001
