index,tic,date,open,high,low,close,pre_close,change,pct_chg,volume,amount,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
0,600000.SH,2015-01-05,15.88,16.25,15.56,16.07,15.69,0.38,2.42,5135687.09,8182820.911,0.0,16.18485281374238,16.01514718625762,100.0,66.66666666666619,100.0,16.07,16.07
1,600000.SH,2015-01-06,16.0,16.68,15.82,16.13,16.07,0.06,0.37,5116845.35,8311084.82,0.0013461538461534417,16.18485281374238,16.01514718625762,100.0,66.66666666666619,100.0,16.1,16.1
2,600000.SH,2015-01-07,15.9,16.17,15.53,15.81,16.13,-0.32,-1.98,3857168.2,6114241.1,-0.008207913658420551,16.34352935525795,15.663137311408718,15.343915343915128,-67.4829192504699,16.216216216216022,16.003333333333334,16.003333333333334
3,600000.SH,2015-01-08,15.87,15.88,15.2,15.25,15.81,-0.56,-3.54,3306271.72,5101310.595,-0.03257072243619241,16.61791136912281,15.012088630877187,6.058641308262963,-129.59808462023858,23.01403983096862,15.815,15.815
4,600000.SH,2015-01-09,15.2,16.25,15.11,15.43,15.25,0.18,1.18,4919999.37,7692348.549,-0.03796079836591737,16.513938141864415,14.962061858135584,21.79489565690335,-53.40016661982221,12.41942859830704,15.738,15.738
5,600000.SH,2015-01-12,15.5,15.71,14.95,15.22,15.43,-0.21,-1.36,3677872.69,5625726.993,-0.049467151131185716,16.464406887565488,14.838926445767841,18.12964362568782,-104.39360321358974,0.7903316879562222,15.651666666666666,15.651666666666666
6,600000.SH,2015-01-13,15.13,15.41,15.1,15.18,15.22,-0.04,-0.26,1784049.56,2712026.682,-0.057806300199302996,16.40743876954394,14.761132659027487,17.548150800886688,-99.89002946291619,0.7903316879562152,15.584285714285715,15.584285714285715
7,600000.SH,2015-01-14,15.31,15.79,15.31,15.49,15.18,0.31,2.04,3090188.55,4812472.304,-0.047724966508710054,16.33750233426348,14.80749766573652,34.41347436410858,-17.5732242153221,23.57958143694191,15.5725,15.5725
8,600000.SH,2015-01-15,15.49,16.15,15.39,16.12,15.49,0.63,4.07,3298268.49,5216166.778,-0.00876108354517946,16.436639003673086,14.830027662993578,54.136183848931786,38.13001070839263,38.61123069547349,15.633333333333333,15.633333333333333
9,600000.SH,2015-01-16,16.24,16.75,16.16,16.47,16.12,0.35,2.17,4802458.87,7938757.902,0.03703458387181158,16.64090716224329,14.793092837756713,60.89452710926943,160.5602211903499,54.54154483268835,15.717000000000002,15.717000000000002
10,600000.SH,2015-01-19,15.38,15.73,14.82,14.82,16.47,-1.65,-10.02,6235208.8,9496942.743,-0.018296812712691235,16.66542012299056,14.605488967918534,35.4318847696632,-93.372141244991,4.575486025129825,15.635454545454547,15.635454545454547
