ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,atr
000016.SH,20221230,2635.2484,2633.1636,2648.4051,2631.8491,2622.0716,13.1768,0.5025,23889757.0,41838275.441,0.0
000016.SH,20221229,2622.0716,2622.1933,2627.431,2605.0487,2638.3055,-16.2339,-0.6153,22776667.0,41251495.769,0.0
000016.SH,20221228,2638.3055,2629.9846,2646.7069,2620.1185,2632.4526,5.8529,0.2223,23171189.0,41656655.888,0.0
000016.SH,20221227,2632.4526,2623.1749,2640.7395,2616.9293,2607.5229,24.9297,0.9561,21814661.0,39852708.568,0.0
000016.SH,20221226,2607.5229,2617.1819,2625.8838,2604.8991,2615.8794,-8.3565,-0.3195,19812417.0,41566451.976,0.0
000016.SH,20221223,2615.8794,2602.4119,2628.3855,2595.8489,2619.7569,-3.8775,-0.148,15929014.0,34443192.589,0.0
000016.SH,20221222,2619.7569,2632.2018,2645.7296,2608.4367,2607.4236,12.3333,0.473,21069503.0,45768048.894,0.0
000016.SH,20221221,2607.4236,2608.8688,2617.9243,2602.606,2599.4882,7.9354,0.3053,15738830.0,33738171.083,0.0
000016.SH,20221220,2599.4882,2636.0792,2640.0108,2580.872,2646.1789,-46.6907,-1.7645,21723971.0,47284907.221,0.0
000016.SH,20221219,2646.1789,2688.1195,2696.9325,2635.1891,2688.2899,-42.111,-1.5665,26354633.0,47877355.233,0.0
000016.SH,20221216,2688.2899,2662.4808,2691.1936,2662.4808,2675.1875,13.1024,0.4898,24961068.0,50701982.504,0.0
000016.SH,20221215,2675.1875,2689.5721,2697.4182,2661.8522,2686.3682,-11.1807,-0.4162,23159163.0,48382939.707,0.0
000016.SH,20221214,2686.3682,2678.4681,2698.0146,2663.7844,2676.8995,9.4687,0.3537,25966933.0,56047969.412,0.0
000016.SH,20221213,2676.8995,2673.5365,2688.2171,2668.4835,2673.9391,2.9604,0.1107,28521298.0,49921377.425,0.0
000016.SH,20221212,2673.9391,2689.5717,2700.3954,2670.2031,2706.7388,-32.7997,-1.2118,31632079.0,64882716.797,36.889435714285746
000016.SH,20221209,2706.7388,2676.7142,2712.8839,2663.6036,2672.8957,33.8431,1.2662,38346283.0,73826523.189,37.77449744897961
000016.SH,20221208,2672.8957,2667.3587,2681.6534,2661.7511,2670.647,2.2487,0.0842,26334919.0,51241277.298,38.289726202623925
000016.SH,20221207,2670.647,2678.6369,2705.2434,2661.2477,2684.8458,-14.1988,-0.5288,34532578.0,64178141.479,38.69729575957935
000016.SH,20221206,2684.8458,2663.1118,2704.9033,2658.1602,2676.1429,8.7029,0.3252,36256033.0,70740334.376,39.27199606246654
000016.SH,20221205,2676.1429,2647.458,2676.418,2635.7472,2614.6137,61.5292,2.3533,54629803.0,84809079.075,39.97389634371895
000016.SH,20221202,2614.6137,2628.1079,2630.2603,2609.5117,2631.2051,-16.5914,-0.6306,29314794.0,55063832.762,41.87798946202473
000016.SH,20221201,2631.2051,2661.1768,2678.3411,2629.8902,2606.5427,24.6624,0.9462,44157533.0,83723221.531,43.43866164330869
000016.SH,20221130,2606.5427,2595.2327,2623.853,2593.5134,2607.7499,-1.2072,-0.0463,40555440.0,67717735.918,43.02816438307237
000016.SH,20221129,2607.7499,2538.6091,2611.7521,2538.6091,2503.6228,104.1271,4.1591,49083250.0,91604848.925,45.179224069995776
000016.SH,20221128,2503.6228,2489.4675,2507.7789,2458.8724,2544.6147,-40.9919,-1.6109,32774737.0,57721467.125,52.58624377928176
000016.SH,20221125,2544.6147,2518.8762,2554.5373,2512.8756,2520.5634,24.0513,0.9542,41295288.0,53724596.407,52.46683350933306
000016.SH,20221124,2520.5634,2550.2969,2562.0764,2517.1841,2535.5226,-14.9592,-0.59,22319192.0,38922995.229,51.92579540152355
000016.SH,20221123,2535.5226,2524.1846,2554.7554,2520.8263,2531.3437,4.1789,0.1651,35963861.0,52465863.181,50.659095729986156
000016.SH,20221122,2531.3437,2516.6952,2555.7855,2508.8613,2514.8539,16.4898,0.6557,37295381.0,56544106.186,50.39231746355857
000016.SH,20221121,2514.8539,2523.0529,2523.0529,2489.4373,2546.7154,-31.8615,-1.2511,25530779.0,54296498.027,49.7861805018758
000016.SH,20221118,2546.7154,2563.2714,2572.7102,2544.8447,2560.0167,-13.3013,-0.5196,28456962.0,55593763.72,50.36261760888466
000016.SH,20221117,2560.0167,2566.2824,2569.4265,2531.3025,2572.8872,-12.8705,-0.5002,27483703.0,61556087.51,49.48843063682149
000016.SH,20221116,2572.8872,2581.9333,2595.2952,2568.3842,2583.7231,-10.8359,-0.4194,28836155.0,64419185.592,48.47343559133424
000016.SH,20221115,2583.7231,2535.2782,2594.2712,2526.6194,2538.2967,45.4264,1.7896,36580901.0,78909146.343,49.843318763381795
000016.SH,20221114,2538.2967,2550.9736,2577.2013,2532.5507,2518.0491,20.2476,0.8041,50342000.0,94228472.128,49.93825313742598
000016.SH,20221111,2518.0491,2511.7787,2546.0871,2482.1134,2440.3171,77.732,3.1853,61500881.0,104649174.524,50.94078505618127
000016.SH,20221110,2440.3171,2422.0105,2451.4669,2414.3513,2440.352,-0.0349,-0.0014,38204021.0,50215591.799,54.70914326645406
000016.SH,20221109,2440.352,2460.2399,2470.4065,2435.0189,2459.0913,-18.7393,-0.762,25125325.0,45243206.192,53.32903303313592
000016.SH,20221108,2459.0913,2476.6525,2482.5779,2442.9232,2477.7666,-18.6753,-0.7537,27299352.0,51556848.177,52.53595210219767
000016.SH,20221107,2477.7666,2452.0053,2490.3197,2449.6301,2468.2764,9.4902,0.3845,40441961.0,71757131.755,51.689784094897846
