index,tic,date,open,high,low,close,pre_close,change,pct_chg,volume,amount,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
0,600000.SH,2018-11-16,10.77,10.85,10.71,10.76,10.77,-0.01,-0.0929,213944.17,230509.596,0.0,10.989705627484772,10.650294372515228,100.0,66.66666666666866,100.0,10.76,10.76
1,600000.SH,2018-11-19,10.86,10.9,10.77,10.88,10.76,0.12,1.1152,213847.93,231999.662,0.0026923076923068834,10.989705627484772,10.650294372515228,100.0,66.66666666666866,100.0,10.82,10.82
2,600000.SH,2018-11-20,10.87,10.89,10.65,10.69,10.88,-0.19,-1.7463,218837.8,234959.214,-0.0024613542433797875,10.968847137405328,10.584486195928003,37.90849673202618,-80.218757974552,43.90715667311328,10.776666666666666,10.776666666666666
3,600000.SH,2018-11-21,10.61,10.72,10.61,10.66,10.69,-0.03,-0.2806,160274.58,170915.676,-0.00582815775245038,10.943033458347502,10.551966541652499,34.417843257622394,-110.2666204135689,55.35382491904187,10.7475,10.7475
4,600000.SH,2018-11-22,10.73,10.73,10.57,10.64,10.66,-0.02,-0.1876,140083.05,148745.106,-0.008330777057173222,10.920730583114212,10.53126941688579,32.36267855602679,-105.09344295620238,63.348897040590835,10.726,10.726
5,600000.SH,2018-11-23,10.6,10.66,10.5,10.5,10.64,-0.14,-1.3158,147150.1,155566.104,-0.01566508171436176,10.94207861243556,10.434588054231105,22.593347002148505,-103.17030003448501,72.54591201413501,10.688333333333333,10.688333333333333
6,600000.SH,2018-11-26,10.66,10.66,10.43,10.5,10.5,0.0,0.0,143773.96,151609.376,-0.020098817161368743,10.933317904657756,10.389539238199387,22.593347002148505,-98.27652652992928,78.35260835512275,10.661428571428571,10.661428571428571
7,600000.SH,2018-11-27,10.5,10.61,10.45,10.49,10.5,-0.01,-0.0952,150846.66,158853.285,-0.0232242087053649,10.91938708427045,10.36061291572955,22.083767404312226,-91.81908915330351,78.35260835512275,10.64,10.64
8,600000.SH,2018-11-28,10.56,10.62,10.5,10.58,10.49,0.09,0.858,183396.21,193914.889,-0.02056988973378182,10.89771941466138,10.368947252005286,35.605851440722915,-55.957062430535075,72.40024645275702,10.633333333333333,10.633333333333333
9,600000.SH,2018-11-29,10.64,10.75,10.54,10.63,10.58,0.05,0.4726,206856.85,220670.065,-0.01581225132064823,10.882274502863366,10.383725497136632,41.44598912590179,11.471972856660283,17.777009361376603,10.633,10.633
10,600000.SH,2018-11-30,10.65,10.75,10.62,10.71,10.63,0.08,0.7526,285726.51,305468.672,-0.00789050674736913,10.880997925302275,10.399002074697727,49.08849614073946,28.462223722242655,17.777009361376585,10.64,10.64
11,600000.SH,2018-12-03,10.99,11.05,10.84,11.02,10.71,0.31,2.8945,430490.7,472438.382,0.015053266063766557,10.98936673486517,10.353966598468164,66.57612583124414,191.07928056636442,35.833719467479895,10.671666666666667,10.671666666666667
12,600000.SH,2018-12-04,11.0,11.08,10.97,11.08,11.02,0.06,0.5445,208112.93,229713.745,0.03525859185672431,11.082320434591152,10.323833411562697,68.72691833847287,173.02617936252142,38.81105545655252,10.703076923076924,10.703076923076924
