date,600000.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600104.SH,600196.SH,600276.SH
2021-11-08,0,100,0,0,0,100,61,73,0,0
2021-11-09,0,-34,0,0,21,81,-61,-46,51,40
2021-11-10,0,-30,0,0,100,-77,0,69,-1,-25
2021-11-11,25,-13,5,0,14,26,0,-96,-34,69
2021-11-12,100,100,-5,13,78,-100,0,0,92,47
2021-11-15,-90,-100,0,-13,100,100,0,47,3,47
2021-11-16,38,56,0,0,38,63,38,30,-100,100
2021-11-17,-73,-79,0,0,68,100,-38,-10,-11,100
2021-11-18,78,100,0,0,100,-92,100,100,100,67
2021-11-19,-69,-100,66,45,72,-100,58,37,-100,29
2021-11-22,70,38,-66,68,-43,100,-34,-21,0,-33
2021-11-23,49,48,0,21,-23,-32,100,16,100,-100
2021-11-24,-23,33,0,100,75,100,51,-100,-39,-64
2021-11-25,-64,100,0,4,60,-32,24,-99,100,-57
2021-11-26,51,-11,0,-41,100,6,100,0,-53,-87
2021-11-29,-3,-100,49,-52,-91,79,-100,0,8,-100
2021-11-30,-38,-100,49,2,7,100,100,100,-35,-33
2021-12-01,27,86,21,-100,-75,-39,-99,-100,-22,13
2021-12-02,93,84,24,-47,-4,26,-8,0,95,-13
2021-12-03,76,100,-36,82,55,53,100,100,86,56
2021-12-06,-56,-82,74,-23,-100,55,-85,12,13,100
2021-12-07,78,-34,-100,67,100,-16,18,-11,-63,-46
2021-12-08,70,58,15,-27,71,-47,-40,74,100,55
2021-12-09,46,-100,-93,-39,-69,78,100,45,-17,-100
2021-12-10,100,73,-3,100,77,100,9,-61,100,70
2021-12-13,-88,-24,100,100,85,2,8,92,-6,41
2021-12-14,-100,-24,67,-100,-100,-34,100,-82,-1,-7
2021-12-15,-32,25,-94,66,-100,5,-80,44,-40,-74
2021-12-16,91,21,-73,-99,-19,-63,-96,-57,-83,-95
2021-12-17,84,-29,85,77,-79,0,-100,100,100,0
2021-12-20,-56,71,100,100,68,-9,-43,100,-2,0
2021-12-21,100,4,-67,-33,-100,29,-18,-100,59,0
2021-12-22,-54,15,-100,-100,-30,84,94,71,-100,30
2021-12-23,-9,17,-18,-100,-74,43,100,-84,-53,93
2021-12-24,-44,100,48,80,-11,100,35,-19,46,-98
2021-12-27,100,-78,-48,100,7,-100,17,34,-100,100
2021-12-28,19,-100,0,21,-15,-11,-59,41,-62,78
2021-12-29,-100,-100,0,100,-100,-32,-100,-100,15,-100
2021-12-30,-27,100,17,-22,95,6,100,-47,73,14
2021-12-31,-95,100,-17,-100,100,-48,13,100,-100,58
2022-01-04,-100,100,0,-100,-48,91,-100,-83,-100,3
2022-01-05,28,17,100,100,47,39,41,-100,-12,-94
2022-01-06,-42,45,41,100,40,69,-60,35,-7,100
2022-01-07,-43,53,-20,-2,-100,-35,61,69,100,100
2022-01-10,-70,100,3,-78,46,39,-27,-100,-34,100
2022-01-11,100,-81,-80,100,-100,41,49,-73,-66,-46
2022-01-12,100,100,100,21,11,-100,-18,0,15,-72
2022-01-13,-100,-33,100,-100,89,35,48,0,100,-5
2022-01-14,-72,52,-74,60,63,16,-31,0,100,-100
2022-01-17,-75,-63,4,60,35,-100,16,0,-100,85
2022-01-18,4,-9,72,-5,100,-68,-81,0,-100,-100
2022-01-19,-4,1,100,-27,-44,35,51,84,100,25
2022-01-20,0,-93,-100,-66,100,-3,-61,-9,-42,-24
2022-01-21,0,-60,-54,57,-81,98,66,27,-73,-100
2022-01-24,0,-54,-3,54,100,-52,-96,4,70,58
2022-01-25,34,-65,58,69,-100,100,-100,100,-70,-100
2022-01-26,22,-100,-85,0,-12,-89,73,-100,36,64
2022-01-27,100,-75,64,-89,100,-9,-25,17,-12,95
2022-01-28,-13,100,40,-42,-7,-12,26,100,-24,34
2022-02-07,-100,-100,-1,34,-52,100,100,-100,44,-31
2022-02-08,64,38,-100,70,96,-40,82,31,-44,6
2022-02-09,-11,-2,-16,41,-3,-86,-12,100,37,67
