date,td3,sac,ppo,sse,ewtf,our,van
2020-06-03,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2020-06-04,999819.251,999880.066,999938.39824,998175.7153467748,999945.728,999724.155,999847.44301
2020-06-05,1000269.6530000002,1000138.24,999962.75384,999954.9113879444,1000020.495,999987.559,999853.3637799998
2020-06-08,1001145.815,1000495.2790000002,999985.2851700002,1015112.2145711478,1000362.2169999998,1000680.818,1000084.293
2020-06-09,1001983.675,1000475.1950000002,1000168.3175900005,1015740.3547442076,1000558.8199999998,1001569.837,1000155.8530499998
2020-06-10,1000263.318,1000043.1130000002,1000268.7132,1006472.811304135,1000428.37,1000902.627,999934.0067099998
2020-06-11,999225.299,998861.1150000002,1000079.8178800002,990417.462260197,999158.943,999027.545,999156.63839
2020-06-12,997977.448,998086.3120000002,999742.2333300002,988172.7167030892,999619.725,997726.771,998672.6095899997
2020-06-15,995107.771,997274.618,999477.2364000004,970774.9376505992,998516.4389999998,995100.179,997545.0379899996
2020-06-16,998300.449,998487.0240000002,999833.7920700004,982031.0630950432,999635.289,997935.912,998546.8977099996
2020-06-17,996860.769,998215.294,999773.8876600004,977729.3555677496,1000450.0129999998,996929.327,998368.4547199996
2020-06-18,999031.23,998126.5900000002,999259.7288200004,980362.1289367416,999785.6539999996,996539.84,998385.8388399994
2020-06-19,1008937.4910000002,1003130.8930000004,1000378.4163400003,985443.4353971992,1000622.3539999998,1004697.386,1001121.1332799996
2020-06-22,1011818.924,1005588.7780000004,1000551.4902900008,981245.493685548,999709.983,1005827.25,1001615.5540299998
2020-06-23,1011970.133,1004960.4730000003,1000558.4306000004,973044.1615701132,998322.681,1005450.025,1001350.18553
2020-06-24,1015749.329,1005938.2120000004,1001348.1201100008,980334.8926985228,998667.477,1009997.825,1002219.48804
2020-06-29,1007878.271,1004533.885,1000490.3666900008,965028.5874497292,996812.249,1004962.3199999996,1001723.15258
2020-06-30,1016177.703,1007955.645,1001313.3266100006,971712.9343247664,998004.1359999998,1011072.1279999996,1003257.80076
2020-07-01,1028620.645,1011057.2030000002,1003634.9778700004,999538.2536361456,1002740.9519999998,1024040.5749999996,1005998.98954
2020-07-02,1057696.894,1021817.588,1006593.5899100004,1033416.1064187622,1014543.504,1046717.2999999996,1010029.7042500004
2020-07-03,1095143.611,1035364.406,1010009.9960000004,1065751.8223697897,1023207.434,1073647.8299999996,1015067.3292100003
2020-07-06,1160796.454,1058387.546,1016226.4810400004,1149265.811824771,1048348.93,1125718.0119999996,1024380.3903800006
2020-07-07,1145402.169,1051266.5890000002,1014277.9398300004,1135931.7952626464,1042985.228,1113078.7129999998,1021692.0739600008
2020-07-08,1188236.5820000002,1065879.955,1017996.8969600004,1172047.9211572087,1052397.769,1143221.9869999995,1027047.1797300008
2020-07-09,1190765.131,1069152.685,1019216.4821800004,1175653.0258684088,1052091.9,1150507.9489999998,1027724.2436000007
2020-07-10,1137875.573,1049587.2780000004,1014918.2963700006,1126022.7829006717,1036299.043,1100473.6059999997,1021456.8378400006
2020-07-13,1149460.1290000002,1054746.6530000002,1017702.5622800004,1132274.7751632885,1043223.817,1111335.2629999998,1023571.0553700008
2020-07-14,1148423.238,1050060.829,1018496.9109100006,1121711.8096193091,1043179.3239999998,1111599.5009999997,1023833.5543100004
