date,ewtf,ppo,sse,sac,td3,our,van
2020-06-03,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2020-06-04,999645.961,999967.62423,997429.7551425472,999559.0874799998,999820.3120000002,999472.344,999686.03331
2020-06-05,1001088.248,1000129.2579399998,1004237.1299965231,1001102.6410199994,1000202.786,1001130.179,1000952.6139600005
2020-06-08,1001875.8,1000173.2593999996,1020032.7818174512,1002314.8351299992,1000815.0600000002,1002104.1670000002,1001013.1555400004
2020-06-09,1003559.08,1000377.1752099996,1023257.8136334748,1004411.0382899992,1001897.1240000002,1004594.8180000002,1001743.2681900002
2020-06-10,1000674.932,1000076.8092999994,1009656.323531118,1001260.499589999,1000913.9130000002,1001181.8370000004,1000318.8475600004
2020-06-11,999674.355,1000134.4528599996,995047.8015326664,999973.7019999992,1000457.895,1000208.5310000004,1000495.8337700004
2020-06-12,1006876.94,1001032.3163199994,1001402.6965878092,1006112.1813399992,999893.9500000004,1007094.3810000004,1004395.4072800004
2020-06-15,1004543.492,1000776.5810899994,981586.5335775242,1000822.1421799992,995348.0830000004,1001840.2420000004,1003459.9955100004
2020-06-16,1012362.332,1001668.0274399996,997650.538483976,1009326.9609599992,997364.7820000004,1010631.7550000004,1008105.3545000004
2020-06-17,1010272.3,1001431.7643999996,992902.7076269764,1006386.1085499992,996427.2550000004,1008013.2870000004,1007297.2783900002
2020-06-18,1016270.474,1002048.9146699994,998285.4093694998,1011123.1157599996,996365.8200000004,1012529.0770000004,1009824.2005000002
2020-06-19,1020440.1,1002340.0785499992,1003632.564703166,1016172.5666599992,998952.3890000002,1018430.4530000002,1012973.0431500002
2020-06-22,1013688.376,1001451.2978999992,994158.9764751904,1008598.6098099992,997530.7410000002,1011462.334,1010984.09383
2020-06-23,1011460.169,1001279.3053699988,986635.5538303576,1005995.8796899992,996491.201,1009659.748,1010876.2250300002
2020-06-24,1015000.119,1001697.9648999989,994216.8048391904,1010593.608139999,999248.7340000002,1016281.288,1012207.7199600004
2020-06-29,1031145.8309999998,1003903.116309999,990735.2396518812,1024523.824259999,998815.082,1032914.384,1020754.0809300004
2020-06-30,1054829.5319999997,1006788.6196999992,1005210.2783885946,1048855.602539999,1001772.456,1059445.438,1032015.3838300002
2020-07-01,1086584.8379999998,1010337.9831599988,1038725.994405212,1082866.9562899992,1007370.655,1093279.929,1046000.82896
2020-07-02,1095993.3779999998,1010953.5192399988,1066482.0286384013,1098568.034819999,1016757.542,1105928.5380000002,1048875.2929199997
2020-07-03,1142738.421,1015697.6127299988,1103866.921808304,1143437.879579999,1016478.934,1151484.479,1069466.5883799996
2020-07-06,1213240.1249999998,1022976.0488299988,1194032.3416664188,1222410.0161499986,1035423.339,1229768.14,1099525.5683199996
2020-07-07,1187415.4699999995,1020339.4581499988,1179253.6070563244,1196880.990159999,1030189.841,1203626.071,1087453.7489699998
2020-07-08,1208857.987,1021825.6871199986,1205214.009501014,1214657.6596299992,1030975.58,1219470.188,1094685.4543199998
2020-07-09,1203417.5699999998,1021196.4912899984,1203137.1577190375,1211453.1332899989,1032876.284,1214260.614,1090520.6465399994
2020-07-10,1205302.3779999998,1021931.2814999984,1165262.4057524442,1203091.840079999,1023881.908,1215322.54148,1094286.3578599996
2020-07-13,1185658.109,1019550.642149998,1162682.6488854203,1188098.8060899992,1025760.8909999998,1194995.84148,1084819.7394999994
2020-07-14,1168851.5939999998,1017340.324199998,1145369.913955873,1167568.454459999,1016183.801,1174725.36148,1078482.5190199995
2020-07-15,1163520.7,1016907.017959998,1132736.510809303,1163687.923719999,1016165.0649999998,1167716.77148,1075361.7342199995
2020-07-16,1083760.995,1008629.847049998,1089799.881378162,1093014.5799099992,992511.329,1091258.54148,1041292.6474899997
2020-07-17,1132595.039,1014989.981419998,1103407.0098429709,1133045.873969999,1004193.4079999998,1139513.8714800002,1065756.9814499996
2020-07-20,1185874.18142,1020469.903659998,1156276.6691998732,1182277.309439999,1014684.0969999998,1177147.84148,1083654.3504399993
2020-07-21,1178429.31184,1019938.7089999982,1139874.8279657073,1176214.7845899991,1016297.447,1177693.36148,1081512.6433699992
2020-07-22,1205979.1407,1023259.980809998,1140617.0798400168,1190844.5250099993,1017103.7459999998,1202576.20148,1095328.8504399993
2020-07-23,1261565.99476,1030959.461849998,1141220.2634194454,1225712.0185099992,1007667.0199999998,1242841.26148,1124257.0291299992
2020-07-24,1171960.25265,1019640.1963099978,1096233.4080761378,1150650.5910999991,983183.571,1160083.54148,1079869.2160599986
2020-07-27,1155255.0323799998,1017118.5740499976,1086537.1651327813,1135642.972079999,976649.821,1143644.13148,1072623.435029999
2020-07-28,1175771.5285899998,1020313.5217199976,1094268.4799704948,1151310.1840399988,983514.252,1166225.44148,1084405.6183299986
2020-07-29,1212945.4031299998,1024949.9229299976,1115018.6670521372,1185075.520229999,1002534.497,1199304.23148,1104914.071779999
2020-08-03,1291731.07719,1036738.0720199978,1129571.770201755,1238278.076619999,1012929.241,1264415.55148,1143193.738929999
2020-08-04,1258541.94645,1031377.8887399976,1143743.418496588,1221685.1864299988,1023430.718,1236039.80148,1120634.9180599991
2020-08-05,1254531.62695,1030909.7293499976,1128485.2291532792,1212506.710009999,1017138.9319999998,1227469.56148,1119486.8640499995
2020-08-06,1243421.74983,1027854.8312699978,1129847.95784766,1206995.294919999,1009350.299,1218861.02148,1119518.3658499997
2020-08-07,1250214.0121799998,1029197.6558199978,1123041.1405273746,1211955.631859999,1013545.8509999998,1220722.87148,1127199.8898999996
2020-08-10,1236164.78082,1025684.6990399974,1128199.9270435649,1205792.580439999,1015771.3049999998,1211272.26148,1124456.263609999
2020-08-11,1230403.15226,1025577.7819999972,1124759.2314998263,1203689.902419999,1017912.708,1212821.3314800002,1116573.3907299994
2020-08-12,1209057.53786,1021483.6072399972,1123974.3549628507,1192597.409849999,1023598.0629999998,1202231.55148,1105300.7447599992
2020-08-13,1198514.6338399998,1019801.9513899971,1115081.8283470892,1184350.076469999,1021370.2939999998,1193555.28148,1096627.4801699992
2020-08-14,1219685.8472399998,1022795.8412299972,1135644.3835253504,1206776.769809999,1040311.5719999998,1213516.92148,1102392.6490299993
2020-08-17,1245693.5111599998,1026039.7986099974,1168139.3377727296,1230666.4448799992,1054257.4549999998,1225934.09148,1110690.9749099992
2020-08-18,1250527.58966,1027151.4796999972,1161629.7101500635,1239514.6529499989,1069688.0529999998,1242333.35148,1116253.0544399992
2020-08-19,1204294.8152,1019092.7084699976,1136550.7054444691,1206821.332729999,1064262.3419999997,1206399.92148,1091400.3440099992
2020-08-20,1180785.3302899995,1014637.8451699977,1120681.9827732556,1182899.1123799994,1043962.7369999998,1178011.40148,1068905.817139999
2020-08-21,1199803.8240899998,1018370.7774599976,1132311.46651616,1199811.509689999,1056186.0739999998,1199023.28148,1083664.9915999991
2020-08-24,1209235.36355,1021164.8892399976,1131491.2084063746,1208445.066689999,1064412.18,1209258.96148,1092289.232789999
2020-08-25,1230791.92923,1026173.3691999976,1138726.2309934215,1224612.8666299991,1068477.4417,1226121.1614800002,1103180.6546099994
2020-08-26,1197961.7088,1020125.5380199976,1121590.9178285412,1202879.6666999992,1076334.4417,1207857.8614800002,1082731.1690899993
2020-08-27,1203344.67351,1020530.5947599976,1121746.94969197,1205221.7928299992,1078462.2617,1211671.6214800002,1088609.1836899994
2020-08-28,1262942.26733,1033316.5443199977,1156568.5792958494,1251072.612759999,1103941.3517,1270442.7014800005,1128839.5598299997
2020-08-31,1215315.49956,1023155.8533599976,1135229.3796867551,1209062.7449299989,1088792.1217,1230806.31148,1097859.929279999
2020-09-01,1242620.67102,1029321.9945399974,1138601.900980445,1227181.411839999,1082496.5517,1251414.30148,1118152.3368399993
2020-09-02,1257818.8210199997,1033905.4428799974,1138567.842944136,1238401.849939999,1084434.5317,1263753.47148,1130185.5532899993
2020-09-03,1257761.9210199998,1034352.9860099972,1134262.9362433266,1239451.777949999,1085951.1016999998,1266070.4514800005,1132607.340909999
2020-09-04,1240153.85102,1030028.0018499972,1124307.832831541,1228065.951199999,1087944.0816999995,1254293.8314800002,1119821.5809099996
2020-09-07,1205996.96095,1021516.1062699972,1113779.0563409706,1195690.230229999,1067219.3017,1217707.97438,1089599.9104199994
2020-09-08,1206961.5711299998,1020296.3636199972,1132915.6633524694,1203239.711459999,1080583.8916999998,1216368.92712,1089898.3935099994
2020-09-09,1176540.36255,1013108.6996699972,1116862.586106351,1172193.664919999,1053433.9016999998,1183454.2503100005,1069286.013489999
2020-09-10,1199508.32855,1020258.844559997,1122689.7634031607,1191042.9824199989,1052755.7617,1201328.7967500002,1088472.7210499994
2020-09-11,1204895.0675499998,1021975.0226699968,1127246.573521565,1195471.606749999,1050177.9717,1202741.0541,1091274.7748299993
2020-09-14,1228431.1425499998,1029220.6054799968,1143513.7388567072,1217832.6809599989,1060279.8516999998,1225658.18114,1110226.5757799991
2020-09-15,1253296.72755,1037985.153219997,1163757.7629173014,1243650.3919799991,1072877.1316999998,1250967.15524,1132674.0975499991
2020-09-16,1238795.0675499998,1032661.3556899969,1149859.1509909926,1229227.6919999989,1066869.1616999998,1235441.6084700003,1120450.257619999
2020-09-17,1226867.48855,1029139.0330799968,1147064.176423207,1220979.989979999,1069235.5716999995,1220946.4554399997,1105425.8683899995
2020-09-18,1259721.61755,1036621.5593299968,1189861.8539143235,1252019.2727799993,1083792.9417,1243352.56363,1125189.6985999993
2020-09-21,1239981.52555,1028699.8430199968,1167417.9473546825,1228995.7815599989,1071858.1416999998,1218703.51856,1105470.1880399997
2020-09-22,1218455.1895499998,1024217.9936999964,1144325.6436573733,1203116.100449999,1041337.6316999998,1191281.19471,1092945.3099399991
2020-09-23,1234474.4315499996,1033873.3040799964,1146320.0143899922,1224082.535549999,1043955.5117,1216794.53432,1114843.6768699994
