date,ewtf,our,ppo,sse,sac,td3
2020-06-03,1000000.0,1000000.0,1000000.0,999999.9999999999,1000000.0,1000000.0
2020-06-04,999645.961,999658.951,999967.62423,997429.7551425473,999559.0874799998,999820.3120000002
2020-06-05,1001088.248,1000998.214,1000129.2579399998,1004237.1299965231,1001102.6410199994,1000202.7860000001
2020-06-08,1001875.8,1001853.793,1000173.2593999995,1020032.7818174512,1002314.8351299993,1000815.0600000002
2020-06-09,1003559.08,1003316.077,1000377.1752099996,1023257.8136334748,1004411.0382899991,1001897.1240000002
2020-06-10,1000674.932,1000435.988,1000076.8092999994,1009656.3235311181,1001260.499589999,1000913.9130000002
2020-06-11,999674.355,999164.4690000004,1000134.4528599995,995047.8015326664,999973.7019999993,1000457.8950000001
2020-06-12,1006876.94,1006464.157,1001032.3163199994,1001402.6965878091,1006112.1813399991,999893.9500000003
2020-06-15,1004543.492,1003745.798,1000776.5810899994,981586.5335775242,1000822.1421799993,995348.0830000003
2020-06-16,1012362.332,1011770.775,1001668.0274399995,997650.5384839759,1009326.9609599991,997364.7820000004
2020-06-17,1010272.3,1009709.857,1001431.7643999995,992902.7076269763,1006386.1085499991,996427.2550000004
2020-06-18,1016270.474,1014761.142,1002048.9146699994,998285.4093694998,1011123.1157599995,996365.8200000003
2020-06-19,1020440.1,1017513.965,1002340.0785499993,1003632.5647031661,1016172.5666599993,998952.3890000002
2020-06-22,1013688.376,1010020.556,1001451.2978999992,994158.9764751904,1008598.6098099991,997530.7410000002
2020-06-23,1011460.169,1007581.721,1001279.3053699989,986635.5538303575,1005995.8796899992,996491.2010000001
2020-06-24,1015000.119,1012801.058,1001697.9648999989,994216.8048391903,1010593.608139999,999248.7340000002
2020-06-29,1031145.8309999998,1029218.045,1003903.116309999,990735.2396518812,1024523.824259999,998815.0819999999
2020-06-30,1054829.5319999997,1052289.004,1006788.6196999991,1005210.2783885946,1048855.602539999,1001772.456
2020-07-01,1086584.8379999998,1084907.6039999998,1010337.9831599987,1038725.9944052119,1082866.9562899992,1007370.6549999999
2020-07-02,1095993.3779999998,1092776.39,1010953.5192399988,1066482.0286384013,1098568.034819999,1016757.5419999999
2020-07-03,1142738.421,1138060.76,1015697.6127299988,1103866.921808304,1143437.879579999,1016478.9339999999
