date,600016.SH,600028.SH,600050.SH,600196.SH,600276.SH,600340.SH,600547.SH,600585.SH,600887.SH,601066.SH,601088.SH,601166.SH,601186.SH,601288.SH,601328.SH,601336.SH,601390.SH,601668.SH,601688.SH,601888.SH
2020-09-02,0,0,-100,-100,0,0,0,-100,-100,0,0,0,5,-100,0,0,0,-100,0,75
2020-09-03,0,0,-100,-100,0,0,0,-100,-100,0,0,0,12,-100,0,0,0,-100,0,74
2020-09-04,1,0,-100,-100,0,0,0,-100,-100,0,0,0,13,-100,0,0,0,-100,0,75
2020-09-07,0,0,-100,-100,0,0,0,-100,-100,0,0,0,3,-100,0,0,0,-100,0,77
2020-09-08,1,0,-100,-100,0,0,0,-100,-100,0,0,0,11,-100,0,0,0,-100,0,79
2020-09-09,1,0,-100,-100,0,0,0,-100,-100,0,0,0,2,-100,0,0,0,-100,0,80
2020-09-10,0,0,-100,-100,0,0,0,-100,-100,0,0,0,20,-100,0,0,0,-100,0,76
2020-09-11,1,0,-100,-100,0,0,0,-100,-100,0,0,0,7,-100,0,0,0,-100,0,76
2020-09-14,1,0,-100,-100,0,0,0,-100,-100,0,0,0,3,-100,0,0,0,-100,0,74
2020-09-15,0,0,-100,-100,0,0,0,-100,-100,0,0,0,17,-100,0,0,0,-100,0,72
2020-09-16,0,0,-100,-100,0,0,0,-100,-100,0,0,0,24,-100,0,0,0,-100,0,72
2020-09-17,0,0,-100,-100,0,0,0,-100,-100,0,0,0,18,-100,0,0,0,-100,0,73
2020-09-18,0,0,-100,-100,0,0,0,-100,-100,0,0,0,6,-100,0,0,0,-100,0,74
2020-09-21,0,0,-100,-100,0,0,0,-100,-100,0,0,0,7,-100,0,0,0,-100,0,76
2020-09-22,0,0,-100,-100,0,0,0,-100,-100,0,0,0,20,-100,0,0,0,-100,0,76
2020-09-23,0,0,-100,-100,0,0,0,-100,-100,0,0,0,14,-100,0,0,0,-100,0,74
2020-09-24,0,0,-100,-100,0,0,0,-100,-100,0,0,0,20,-100,1,0,0,-100,0,74
2020-09-25,0,0,-100,-100,0,0,0,-100,-100,0,0,0,21,-100,1,0,0,-100,0,72
2020-09-28,1,0,-100,-100,0,0,0,-100,-100,0,0,0,4,-100,0,0,0,-100,0,70
2020-10-09,1,0,-100,-100,0,0,0,-100,-100,0,0,0,18,-100,0,0,0,-100,0,79
2020-10-12,0,0,-100,-100,0,0,0,-100,-100,0,0,0,18,-100,0,0,0,-100,0,78
2020-10-13,1,0,-100,-100,0,0,0,-52,0,0,0,0,11,-1,0,0,0,0,0,43
2020-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
