date,600585.SH,600703.SH,601390.SH,601939.SH,603259.SH
2020-09-02,100,100,100,-100,100
2020-09-03,100,100,100,-100,100
2020-09-04,100,100,100,-100,100
2020-09-07,100,100,100,-100,100
2020-09-08,100,100,100,-100,100
2020-09-09,100,100,100,-100,100
2020-09-10,100,100,100,-100,100
2020-09-11,100,100,100,-100,100
2020-09-14,100,100,100,-100,100
2020-09-15,100,100,100,-100,100
2020-09-16,100,100,100,-100,100
2020-09-17,100,100,100,-100,100
2020-09-18,100,100,100,-100,100
2020-09-21,100,100,100,-100,100
2020-09-22,100,100,100,-100,100
2020-09-23,100,100,100,-100,100
2020-09-24,100,100,100,-100,100
2020-09-25,100,100,100,-100,100
2020-09-28,100,100,100,-100,100
2020-09-29,100,100,100,-100,100
2020-09-30,100,100,100,-100,100
2020-10-09,100,100,100,-100,100
2020-10-12,100,100,100,-100,100
2020-10-13,100,100,100,-100,100
2020-10-14,100,100,100,-100,100
2020-10-15,100,100,100,-100,100
2020-10-16,100,100,100,-100,100
2020-10-19,100,100,100,-100,100
2020-10-20,100,100,100,-100,100
2020-10-21,100,100,100,-100,100
2020-10-22,100,100,100,-100,100
2020-10-23,100,100,100,-100,100
2020-10-26,100,100,100,-100,100
2020-10-27,100,100,100,-100,100
2020-10-28,100,100,100,-100,100
2020-10-29,100,100,100,-100,100
2020-10-30,100,100,100,-100,100
2020-11-02,100,100,100,-100,100
2020-11-03,100,100,100,-100,100
2020-11-04,100,100,100,-100,100
2020-11-05,100,100,100,-100,100
2020-11-06,100,100,100,-100,100
2020-11-09,100,100,100,-100,100
2020-11-10,0,0,5,-100,22
2020-11-11,0,0,14,-100,5
2020-11-12,0,0,12,-100,5
2020-11-13,0,0,9,-100,5
2020-11-16,0,0,7,-100,5
2020-11-17,0,0,11,-100,5
2020-11-18,0,0,4,-100,6
2020-11-19,0,0,4,-100,6
2020-11-20,0,0,0,-100,6
2020-11-23,0,0,4,-100,6
2020-11-24,0,0,6,-100,6
2020-11-25,0,0,9,-100,6
2020-11-26,0,0,10,-100,6
2020-11-27,0,0,15,-100,6
2020-11-30,0,0,16,-100,6
2020-12-01,0,0,14,-100,6
2020-12-02,0,0,14,-100,6
2020-12-03,0,0,12,-100,6
2020-12-04,0,0,8,-100,6
