tic,date,close,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,temporal_feature_0,temporal_feature_1,temporal_feature_2,temporal_feature_3,temporal_feature_4,temporal_feature_5,temporal_feature_6,temporal_feature_7,temporal_feature_8,temporal_feature_9,temporal_feature_10,temporal_feature_11,temporal_feature_12,temporal_feature_13,temporal_feature_14,temporal_feature_15,temporal_feature_16,temporal_feature_17,temporal_feature_18,temporal_feature_19,temporal_feature_20,temporal_feature_21,temporal_feature_22,temporal_feature_23,temporal_feature_24,temporal_feature_25,temporal_feature_26,temporal_feature_27,temporal_feature_28,temporal_feature_29,temporal_feature_30,temporal_feature_31,temporal_feature_32,temporal_feature_33,temporal_feature_34,temporal_feature_35,temporal_feature_36,temporal_feature_37,temporal_feature_38,temporal_feature_39
600585.SH,2018-11-02,34.49,-0.5873089652914203,36.331529529359045,30.599470470640966,49.47225588165894,18.629827408358206,3.9983785480582443,34.13699999999999,34.93,-0.39276278,0.7569274,0.22482422,-0.70654154,1.0580497,0.2752732,1.1892768,-0.06623969,0.3310674,0.51146305,-0.8437229,-0.40203094,0.6699451,-1.6922829,-0.5565466,0.36356324,0.43820843,0.7111041,-0.1866366,-0.26663533,0.008650623,1.0835392,-0.53793633,0.029563164,-0.50132763,-0.19384351,0.34829393,-1.1652076,-0.2757556,0.14606746,-0.19294156,1.8296446,-0.5177974,-0.14481205,1.1128876,-2.3116693,-0.7590591,1.3240939,0.32050362,0.88254285
600585.SH,2018-11-05,34.35,-0.4414405883829744,36.2747439974232,30.6132560025768,49.11936701550218,5.297826630795277,2.396253336881997,34.18366666666667,34.9184,-0.2335146,0.30047697,0.57856286,-0.67949927,1.3135754,0.4342492,1.0855987,-0.21911699,-0.043859217,0.60162383,-0.70130074,-0.19582653,0.85846686,-1.1242046,-0.43550685,0.52245975,0.73631096,0.6593772,0.3379658,-0.5391966,-0.143438,0.6275689,-0.49970555,-0.087105304,-0.52473825,-0.47845727,0.4711973,-1.2525512,-0.42462444,-0.122187264,-0.014031793,1.5697922,-0.36518395,-0.25670367,1.354575,-2.1391757,-1.0398103,1.2003661,0.20739879,0.9920164
600585.SH,2018-11-06,34.25,-0.32997608224432184,36.240828684700816,30.61917131529917,48.861829095596065,-4.893517765047784,0.6414277614659282,34.235,34.90529411764706,-0.22289509,-0.031060468,0.35316336,-0.6580025,1.497769,0.032532036,0.95364064,-0.14350261,-0.11438298,0.69099414,-0.7428578,-0.2632812,0.7976949,-0.92390823,-0.54222023,0.51093316,0.7631118,0.62796813,0.42074168,-0.84606004,0.047935177,0.5316567,-0.31405732,-0.0743721,-0.52242386,-0.6964508,0.53824115,-1.1230981,-0.5921915,-0.19063205,0.00086556736,1.4119439,-0.5945201,-0.39232367,1.333328,-2.2032168,-1.041151,1.3082587,0.22998913,0.7281384
600585.SH,2018-11-07,34.2,-0.24282037271559886,36.09210153512774,30.667898464872266,48.72967664748487,11.802624915034333,3.298706588465191,34.211333333333336,34.89173076923077,-0.26126447,-0.076670356,0.30062222,-0.44716328,1.6958778,-0.4011226,1.0963752,0.03980054,-0.42387033,0.77237475,-0.7400544,-0.547897,0.7765726,-0.97559613,-0.76307136,0.47510165,0.8466892,0.65225023,0.56203777,-0.9093117,0.10197665,0.6452323,-0.22186531,0.1364514,-0.526752,-0.89599735,0.53133684,-1.0006125,-0.34640384,-0.5563302,0.39113003,1.2952569,-0.9530549,-0.707915,1.26769,-2.1377785,-0.97944117,1.2954551,-0.018548982,0.44365907
600585.SH,2018-11-08,34.55,-0.1442971605812957,36.19512046690298,30.670879533097022,49.71452496311403,16.662199039354476,3.2987065884651856,34.19766666666667,34.88528301886792,0.03671908,0.13507515,0.1911811,-0.4099746,1.6366932,-0.41334924,1.2469838,-0.197325,-0.45803395,0.85400206,-0.63727164,-0.48084024,0.87939996,-1.2182845,-0.72710997,0.5514837,1.0278329,0.5234015,0.14027694,-0.8242408,0.16638432,0.96042687,-0.06571225,0.25608474,-0.34540677,-1.0679821,0.46486074,-1.0438641,-0.04112384,-0.6734212,0.7291625,1.4600706,-1.0255342,-0.8671285,1.2250773,-2.0182617,-0.9160014,1.35782,-0.12753356,0.26697272
600585.SH,2018-11-09,33.35,-0.15980935514573247,35.94355428677717,30.72244571322283,46.5435059739943,-20.974863308488104,9.144492293151234,34.12,34.85685185185185,-0.2765208,0.3649402,0.26517683,-0.40389094,1.6124624,-0.74269605,1.426713,-0.13030739,-0.9262282,0.9162881,-0.73518455,-0.68400866,1.023471,-1.4621419,-0.9470341,0.41745076,0.9744928,0.30288118,0.26695645,-0.6014962,0.16461468,1.1912955,-0.2126843,0.22767551,-0.31186458,-1.102587,0.55463856,-0.8451542,-0.058454957,-1.0209405,0.9225077,1.5026333,-1.1039838,-0.9944167,1.0875069,-1.907401,-0.7615051,1.1695873,-0.26274294,0.25896963
600585.SH,2018-11-12,33.75,-0.13865630184689337,35.884561232717324,30.72643876728268,47.69396032197499,-35.062513558315324,11.130529461458568,34.02133333333333,34.83672727272727,0.31868014,0.74696213,0.01864357,-0.5116555,1.3220996,-0.68708694,1.420565,-0.05216265,-0.40765905,1.0107497,-0.34853268,-0.55784404,0.63716435,-1.4485584,-0.67732996,0.68381643,0.9462906,0.28584838,-0.18514954,-0.35678905,0.22083409,1.0666342,-0.0027001102,0.5500405,-0.15401609,-1.1975082,-0.04244436,-0.92486954,0.15596302,-0.65745085,0.48164082,1.3387046,-1.2229596,-1.0040225,1.2214867,-1.522785,-0.5904847,1.1992763,0.060305092,0.09384144
600585.SH,2018-11-13,33.68,-0.12601757234379107,35.8778399170958,30.725160082904196,47.50886099404365,-25.96760205680262,10.393516152713548,33.92966666666667,34.816071428571426,-0.54311,0.8008681,-0.08796196,-0.40587917,1.4350936,-1.3104247,0.9893707,-0.03538547,-0.4727043,0.9086303,-0.802898,-0.9417295,0.17713284,-1.6646408,-0.82571286,0.5417912,0.33340758,0.3507846,0.072101906,-0.049282975,0.21431334,1.1335235,-0.3245144,0.58744633,-0.65666676,-0.95063365,0.4943512,-0.69999385,-0.046732295,-0.6021605,-0.008132044,1.3418884,-0.8755862,-1.0816368,0.6859425,-1.2316494,0.22271705,0.39428282,-0.15057787,-0.34771264
600585.SH,2018-11-14,33.7,-0.11310136591676923,35.82694819348822,30.72705180651178,47.56900395099318,-4.576427040106541,6.980618528644281,33.830333333333336,34.796491228070174,-0.66963726,0.8761066,-0.18685354,-0.69031954,1.1763241,-1.4927865,0.8878172,0.046765853,-0.63545775,0.9339595,-0.51091623,-1.1122502,0.09531784,-1.5888566,-0.78519183,0.504875,0.07683969,0.20972024,-0.08609875,0.1786495,0.16325535,1.2411282,-0.5254143,0.742336,-0.6853889,-0.872324,0.43772984,-0.42708653,0.01954774,-0.8315125,-0.11181735,1.219329,-0.73227745,-1.1926515,0.62650394,-0.9479488,0.35312086,0.11487121,-0.16043271,-0.4205433
600585.SH,2018-11-15,34.13,-0.06775739150925375,35.90319063690436,30.74880936309564,48.87193037705784,5.243353923866988,9.63516497333207,33.73533333333333,34.785,-0.97836137,0.7301593,-0.38547012,-1.1987202,1.2879583,-1.1953679,0.90516835,0.36224627,-0.60422206,1.0384625,-0.27533084,-0.8583219,0.2388964,-1.2400395,-0.64474744,0.1943735,0.2659501,0.11714416,0.11485311,0.41884518,-0.054652307,0.8799577,-0.74540883,0.44903064,-0.9115845,-0.8383415,0.28826466,-0.40364245,-0.57250017,-1.1289396,-0.041324366,1.1122233,-0.45786157,-1.250075,0.796148,-1.2132789,0.05393982,-0.05786104,-0.0729806,-0.2183105
