date,ewtf,our,td3,sac,ppo,sse
2020-06-03,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2020-06-04,996781.911,1000020.936,999895.709,999896.6,1000000.0722399999,852687.2542080713
2020-06-05,996677.02,999953.848,999791.5160000001,999798.297,999999.38428,850176.6260993461
2020-06-08,996003.173,1000013.792,999746.3720000001,999744.04,999999.4366,839695.2386279107
2020-06-09,996242.545,999886.715,999960.241,999969.799,999998.2688600001,844020.6481973582
2020-06-10,997210.853,999533.669,1000549.055,1000578.5,999990.0413800001,856024.4056017232
2020-06-11,996395.964,999380.693,999846.75,999906.078,999984.51552,848229.2671334596
2020-06-12,996750.208,998957.742,999308.561,999388.767,999978.51056,849906.5095007328
2020-06-15,994773.399,997818.851,998910.448,998974.529,999946.54644,839283.2334915715
2020-06-16,996817.835,998014.102,999345.384,999382.342,999953.4463,850279.6918196426
2020-06-17,998051.042,998381.331,999359.271,999406.1089999999,999960.9253799999,855647.0993652774
2020-06-18,996571.124,998972.523,997725.156,997694.8729999999,999967.8436999999,846104.7730221561
2020-06-19,1002758.3390000002,999713.661,997803.189,997772.7919999999,999982.6013799998,869090.1684259471
2020-06-22,1003560.0370000002,1000451.737,997056.2150000001,997090.7039999999,1000001.1978199998,870444.5209373872
2020-06-23,1006496.6720000004,999706.756,996056.2980000001,996118.668,999982.5928199998,879310.1704054275
2020-06-24,1011714.0960000004,999688.828,997115.452,997237.701,999990.8691399997,896598.0837701678
2020-06-29,1010096.1710000002,998485.9009999998,994853.535,995023.659,999961.3048999998,890285.1714750685
2020-06-30,1012254.3460000004,1001033.049,995136.7590000001,995323.755,1000017.6224999997,894909.6295020937
2020-07-01,1013100.3930000004,1000724.047,999810.9660000001,999871.833,1000017.8567799996,901900.5396146097
2020-07-02,1012968.3920000003,1001690.062,1002255.9130000002,1002373.6579999999,1000061.0510399996,903565.7968465432
2020-07-03,1019510.3970000002,1002147.0259999998,1002769.7310000001,1003127.3509999999,1000114.9230199995,918999.7515339685
2020-07-06,1024301.0740000004,1007414.9669999998,1007152.5230000002,1007783.0059999999,1000345.3722999995,930951.1222983829
2020-07-07,1027164.5220000003,1007433.657,1006244.1060000003,1006852.439,1000345.2305999994,936098.7701446926
2020-07-08,1032044.8390000004,1009684.346,1006536.7300000002,1006684.914,1000376.3688999993,944458.3053894963
2020-07-09,1046569.9430000002,1010592.937,1009698.3410000001,1009630.396,1000375.7458399993,973824.9154725778
2020-07-10,1040375.4410000002,1009564.49,1004066.8200000002,1002923.755,1000178.6027999993,957783.1662201665
2020-07-13,1057906.1860000002,1014163.084,1007596.5240000002,1006141.382,1000251.2676399993,988855.8216570624
2020-07-14,1051487.2560000003,1011567.501,1007725.0920000003,1006215.885,1000176.6096799994,979126.372555741
2020-07-15,1050879.563,1005124.014,1003770.6550000003,1002457.385,1000020.7944799993,978113.7574919983
2020-07-16,1021337.8910000004,998653.757,998544.3590000003,997405.019,999891.9048399993,930954.0863641119
2020-07-17,1031489.2370000002,999580.723,1002648.2430000002,1001478.8269999999,999906.7796399993,948568.562448741
2020-07-20,1047621.2440000002,1003018.658,1020993.9900000002,1019483.499,1000002.7539399994,981806.145719657
2020-07-21,1073169.7300000002,1006055.482,1015323.1450000003,1013684.59,1000051.2651399993,1013728.9403129949
2020-07-22,1072192.4170000004,1004864.211,1015415.4770000002,1013776.862,1000017.4748199993,1012842.6202237946
2020-07-23,1089070.133,1002922.976,1015748.8060000002,1013804.131,999948.6655199993,1035951.8620260909
2020-07-24,1046944.3520000002,996269.798,1007447.1250000002,1005572.3990000001,999764.4382399992,978915.5694898148
2020-07-27,1048976.7740000002,996014.81,1010428.6810000002,1008625.9020000001,999739.1162199993,983198.4189415656
2020-07-28,1058355.1390000002,997047.829,1010977.1540000002,1009211.3200000001,999767.8548999992,994754.3768941022
2020-07-29,1069583.25,1002668.8199999998,1014162.6120000002,1012396.7220000001,999903.0127999992,1008243.9044632643
2020-07-30,1075608.065,1004069.6629999998,1017041.9860000003,1015315.0400000002,999923.9471399994,1016333.1620189257
2020-07-31,1089707.725,1006386.4699999996,1016995.2860000002,1015188.2830000002,999968.6209399994,1031703.2282026472
2020-08-03,1093254.032,1006957.2189999996,1020473.5870000002,1018584.5290000002,999990.6336199993,1037033.1983094001
2020-08-04,1097013.252,1003173.9539999996,1023028.8030000002,1020971.6920000003,999953.5457599993,1043033.7882873524
2020-08-05,1112257.3820000002,1010136.7789999996,1019065.9580000002,1017309.7980000003,1000081.5587799994,1056004.990971198
2020-08-06,1097276.157,1009209.4419999996,1016727.2050000003,1014618.9890000003,1000047.1088199994,1039563.6727712675
2020-08-07,1082225.272,1004481.1259999996,1016585.5050000004,1015512.2410000004,999968.6796399994,1026058.8738199795
2020-08-10,1095222.721,1011055.9149999996,1017774.8080000003,1016103.4730000003,1000101.9521999994,1037566.8267949478
2020-08-11,1084109.887,1004660.5609999998,1012316.0850000003,1011114.6920000003,999978.6818599993,1026353.0251254829
2020-08-12,1063929.289,1011233.3429999998,1005253.4780000002,1004100.0170000002,1000115.8341399994,1003161.981552686
2020-08-13,1056167.1110000005,1013630.9879999998,1005100.0180000002,1003799.4880000001,1000155.8835599993,995347.4155666545
2020-08-14,1061847.0910000002,1013477.5839999998,1007393.5610000001,1006042.9650000001,1000166.7521599993,1001377.8395105322
2020-08-17,1071312.9570000002,1019492.1829999998,1016363.0580000002,1015165.3970000001,1000361.4405399993,1011954.0770852974
2020-08-18,1078468.637,1015172.664,1016252.3790000002,1015106.6500000001,1000250.0250999993,1019073.4730035469
2020-08-19,1053273.0884400003,1007378.228,1013860.7020000003,1012237.9040000002,1000058.0317999993,997866.2915104517
2020-08-20,1041641.7630800002,1007158.939,1005808.0700000003,1004239.2120000003,1000016.8621199992,985091.0393457817
2020-08-21,1038397.0830800002,1003195.654,1006351.5870000003,1005002.6680000003,999952.9331999993,983347.2021539222
2020-08-24,1052282.0430800002,1005712.441,1018833.0940000003,1017428.1100000003,1000002.0854399991,999104.3366601319
2020-08-25,1055013.5230800002,1004626.183,1016888.3780000003,1015654.3300000003,999978.0167999992,1001068.2557323744
2020-08-26,1053989.0430800002,1003288.944,1013981.6960000002,1013153.5810000002,999930.328579999,999673.9527698035
2020-08-27,1062388.8030800002,1005940.728,1012264.0640000002,1011494.8750000002,999978.581179999,1005883.6060359718
2020-08-28,1084402.4030800003,1005997.4669999998,1021617.4610000002,1020668.1970000003,1000012.0529599992,1027669.9401980408
2020-08-31,1073069.5230800002,1006726.2049999998,1015022.7020000003,1013341.3660000003,1000005.8241799991,1015383.4044795024
2020-09-01,1056380.4830800002,1004738.9309999996,1011544.0510000002,1009552.6550000003,999959.8154999992,1000167.695240432
2020-09-02,1060571.5230800002,999592.9309999996,1007316.4560000002,1005577.0050000002,999841.2475599992,1003428.231978609
2020-09-03,1048503.3556900002,997141.166,1006477.9280000003,1004482.4180000003,999763.0414999992,993193.860723964
2020-09-04,1042250.9535900004,1008600.618,1005366.4130000003,1003565.8480000002,1000015.1166599992,986287.5553571492
2020-09-07,1011093.2386600004,1008279.162,997703.9150000004,995837.2920000002,1000038.7479399992,957826.4673542955
