date,our,ewtf,td3,sac,ppo,sse
2020-06-03,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2020-06-04,999573.654,999776.613,999941.62,999867.56392,999971.8602400003,998134.8502080489
2020-06-05,1000923.6920000002,999841.416,1000396.277,1000079.7849399998,1000054.1848200002,1010550.4261343766
2020-06-08,1000929.0340000005,1000033.17,999861.6960000001,1000056.91691,1000200.4863500001,1007015.5408964374
2020-06-09,1003922.3600000005,1001619.8489999998,1001212.2860000001,1001610.5873799999,1000389.9778400001,1028232.236819964
2020-06-10,1002923.9270000004,1002256.1229999998,1001850.533,1002242.82241,1000118.6609899999,1027043.1031526339
2020-06-11,1002754.6850000004,1000284.2629999996,1000850.6479999999,1000463.3410099999,1000035.7776199998,1023916.6934533679
2020-06-12,1010901.4640000004,1000768.7259999996,1001766.926,1001025.1313999998,1000839.30742,1044672.4029777166
2020-06-15,1007985.0730000004,996407.1149999996,1000065.07,998697.5712799998,1000705.10188,1030835.8062234733
2020-06-16,1018237.0410000004,1000856.0449999996,1004039.4239999999,1002949.9967499996,1001392.9826200001,1057694.5967553626
2020-06-17,1021391.8650000005,1005752.4769999996,1007987.3339999999,1007110.6212699997,1001678.6564900002,1069578.0992679296
2020-06-18,1022413.3690000004,1002407.4159999996,1007436.847,1004970.5151699996,1001826.2913900001,1070555.04109457
2020-06-19,1030179.7760000004,1008049.6559999996,1015958.408,1012941.1098399995,1002492.6625,1095091.492605072
2020-06-22,1024101.5320000002,1007521.4229999996,1015987.2570000001,1012171.3138899996,1002031.32774,1089796.3194153607
2020-06-23,1023733.7520000002,1006647.2279999998,1017686.102,1012943.3814999997,1002004.69815,1093692.975004151
2020-06-24,1025592.995,1007438.0929999998,1014632.8240000001,1011856.6648299997,1002326.56017,1092433.513756187
2020-06-29,1043275.1110000004,1004171.903,1013249.7480000001,1008552.3331599995,1003912.37046,1101739.0078131366
2020-06-30,1068337.1190000002,1005361.9149999998,1016915.757,1011971.9730499997,1006192.9613800001,1123873.6395440295
2020-07-01,1099050.65,1012995.855,1016982.549,1017473.4297699996,1008881.7779,1148829.908139669
2020-07-02,1107854.472,1024475.3689999998,1033204.336,1032835.3346599995,1010457.7048,1159497.9166328583
2020-07-03,1147783.8280000002,1032620.2769999998,1047940.2679999999,1044351.7604399996,1013734.7285199999,1193571.3796364744
2020-07-06,1218942.185,1067066.7759999998,1076517.4619999998,1075514.6018199995,1021547.8681599998,1258912.7767727047
2020-07-07,1211224.4516400003,1078733.633,1083157.2939999998,1081452.9412999996,1019417.5555199998,1262728.3028322011
2020-07-08,1227781.8316400002,1088401.958,1095872.8229999999,1094148.2441499997,1021480.00948,1276108.4997686124
2020-07-09,1234491.5216400002,1101635.8609999998,1099085.7979999997,1100923.43943,1021503.9435499999,1282842.3905957458
2020-07-10,1236712.4416400003,1078647.2109999997,1083733.6379999998,1083275.7488799999,1017455.8364099999,1278751.2000055641
2020-07-13,1228271.8316400002,1092077.4789999998,1092131.0909999998,1096341.5987099998,1017703.87099,1275459.8032810264
2020-07-14,1215324.0716400004,1088151.2289999998,1093670.2199999997,1096440.74629,1017222.6358399999,1259569.9969071052
2020-07-15,1228461.7216400004,1102738.6511099995,1114111.2909999997,1112505.10626,1018865.4983299999,1274143.9940326076
2020-07-16,1145380.6316400005,1048879.5131599996,1063101.6309999996,1058861.2255,1007597.1919699998,1194815.1625704267
2020-07-17,1187282.8016400004,1053773.6982699998,1063615.7289999998,1065734.45163,1013723.3839999997,1223748.536790618
2020-07-20,1233132.6416400005,1092845.26766,1092016.809,1103316.9834,1017261.5616699997,1255110.2210456415
2020-07-21,1242958.9016400003,1102988.2495699998,1100917.9719999998,1108969.07559,1019915.8350499999,1266964.9350160365
2020-07-22,1265559.9316400003,1103366.6577099997,1095775.856,1110015.20069,1023676.4553299998,1285962.5149798347
2020-07-23,1318503.9516400003,1111957.0253299996,1105540.8949999998,1117395.54159,1032004.0514999998,1313006.107767515
2020-07-24,1245175.1516400003,1079738.8500699997,1074048.6459999997,1078451.3245400002,1023029.9325899997,1243711.5771388642
2020-07-27,1254856.46164,1105640.78987,1092742.2959999999,1095751.3763100004,1025320.8999299998,1244481.3733635496
2020-07-28,1265585.7916400002,1100100.9352299997,1084723.4259999997,1094299.2947000002,1027220.1134899999,1253990.3657409917
