index,tic,date,open,high,low,close,pre_close,change,pct_chg,volume,amount,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
0,600009.SH,2019-07-05,80.0,82.1,79.45,81.4,79.75,1.65,2.069,156494.97,1259765.768,0.0,82.87188383542068,78.31811616457932,0.0,-66.66666666666667,100.0,81.4,81.4
1,600009.SH,2019-07-08,80.73,81.0,79.0,79.79,81.4,-1.61,-1.9779,96828.85,771884.451,-0.03612179487181777,82.87188383542068,78.31811616457932,0.0,-66.66666666666667,100.0,80.595,80.595
2,600009.SH,2019-07-09,79.62,81.11,79.52,80.39,79.79,0.6,0.752,83120.78,667991.039,-0.027420372269531867,82.1539752831661,78.89935805016724,27.82501159375464,35.84946972899954,58.56622114216319,80.52666666666667,80.52666666666667
3,600009.SH,2019-07-10,80.55,81.9,80.1,81.4,80.39,1.01,1.2564,80795.84,656613.506,0.013674874328557962,82.33501048214575,79.15498951785426,51.38222124875674,127.48777696167426,38.7883836219097,80.745,80.745
4,600009.SH,2019-07-11,81.78,81.95,80.06,80.18,81.4,-1.22,-1.4988,60594.91,490244.704,-0.012829081623735306,82.09879241885142,79.1652075811486,36.49698268216018,55.12958996216635,41.22962591689383,80.632,80.632
5,600009.SH,2019-07-12,80.44,82.2,80.44,81.93,80.18,1.75,2.1826,70061.73,570798.617,0.04631061522762536,82.53486428966549,79.1618023770012,55.58848141407192,100.07947247653341,51.55605644214625,80.84833333333334,80.84833333333334
6,600009.SH,2019-07-15,81.52,81.6,80.5,81.0,81.93,-0.93,-1.1351,60847.31,492217.445,0.041309227553227856,82.41384800633568,79.32615199366433,47.70407040208967,23.540250561571348,51.55605644214625,80.87,80.87
7,600009.SH,2019-07-16,80.85,81.18,78.9,79.6,81.0,-1.4,-1.7284,121103.25,964140.357,-0.029292285901405535,82.39927293484759,79.02322706515243,39.0735715381393,-120.04328550294782,33.67315564496114,80.71125,80.71125
8,600009.SH,2019-07-17,79.59,80.98,79.0,80.53,79.6,0.93,1.1683,76249.81,612537.744,-0.0315961265360869,82.27472862946725,79.10749359275498,45.81066336334374,-30.104530700899648,33.67315564496115,80.69111111111111,80.69111111111111
9,600009.SH,2019-07-18,80.54,81.97,80.2,81.01,80.53,0.48,0.5961,60129.08,488863.324,-0.008046236352512892,82.22960914344468,79.21639085655532,48.831655915547834,83.50033109001214,4.355926632807158,80.723,80.723
10,600009.SH,2019-07-19,81.79,82.82,81.3,81.51,81.01,0.5,0.6172,54819.3,448868.304,0.03572191561084992,82.30056972092004,79.28852118817088,51.7313551246613,128.7283959344297,24.1586574417777,80.79454545454546,80.79454545454546
11,600009.SH,2019-07-22,81.64,82.55,80.5,82.06,81.51,0.55,0.6748,54146.44,443941.016,0.09753657040774044,82.51112044581065,79.28887955418936,54.65545737649508,121.49719345225303,2.7543168324251828,80.9,80.9
12,600009.SH,2019-07-23,82.0,82.95,81.06,81.98,82.06,-0.08,-0.0975,67589.61,553271.78,0.1375670764498551,82.63785555107896,79.32829829507489,54.16174878854949,95.95088279522966,10.958770970398144,80.98307692307692,80.98307692307692
13,600009.SH,2019-07-24,81.88,82.46,81.32,81.69,81.98,-0.29,-0.3537,53888.67,441601.249,0.14893644474648227,82.66771871772177,79.3994241394211,52.38717763379681,93.81721895265352,10.95877097039815,81.03357142857143,81.03357142857143
14,600009.SH,2019-07-25,81.5,84.08,81.28,84.0,81.69,2.31,2.8278,76704.16,635873.3,0.29268949863535454,83.42821250507632,79.03445416159036,62.50911545817472,158.5841082640487,35.96214226508988,81.23133333333334,81.23133333333334
15,600009.SH,2019-07-26,84.1,85.56,83.51,85.05,84.0,1.05,1.25,60929.05,517028.417,0.4617717930204037,84.32483449607854,78.61516550392146,65.91623860883527,253.05576796789504,49.74394963137815,81.47,81.47
16,600009.SH,2019-07-29,85.05,85.68,84.41,84.98,85.05,-0.07,-0.0823,45810.2,389915.329,0.580658143676672,84.92293744603987,78.43000373043071,65.50568193682929,211.46768564747185,50.664218267440354,81.67647058823529,81.67647058823529
17,600009.SH,2019-07-30,84.98,85.48,84.08,84.26,84.98,-0.72,-0.8473,62312.84,528404.372,0.6191816822079943,85.1968067059593,78.44319329404068,61.434234243673025,161.94105168744514,42.96826699494561,81.82,81.82
18,600009.SH,2019-07-31,83.84,84.2,82.35,82.78,84.26,-1.48,-1.7565,76636.78,637283.116,0.5463159090597429,85.18162196314927,78.55943066842968,54.262529547540765,69.81026428725349,11.151082711573089,81.87052631578948,81.87052631578948
19,600009.SH,2019-08-01,82.78,83.46,81.6,82.01,82.78,-0.77,-0.9302,72583.66,598025.435,0.4333703310025925,85.10088739772145,78.65411260227854,51.054778800162794,28.702895416584678,0.7593860870169228,81.8775,81.8775
20,600009.SH,2019-08-02,80.7,82.48,80.32,81.9,82.01,-0.11,-0.1341,56008.29,457611.878,0.33363385150808256,85.11804039004333,78.68695960995667,50.612613598325815,-8.570801064963137,13.922296655759844,81.87857142857143,81.87857142857143
21,600009.SH,2019-08-05,81.45,82.28,79.3,79.36,81.9,-2.54,-3.1013,94278.97,759903.047,0.08206768223249128,85.16111488887364,78.60088511112636,41.93684094889255,-67.98949992717878,23.426636257989355,81.76409090909091,81.76409090909091
22,600009.SH,2019-08-06,77.18,79.7,76.36,78.95,79.36,-0.41,-0.5166,122266.99,950148.583,-0.14186127014953342,85.28432595972173,78.33367404027827,40.76986457406261,-202.94116415569562,42.864487586337944,81.64173913043479,81.64173913043479
23,600009.SH,2019-08-07,79.65,80.6,79.01,79.01,78.95,0.06,0.076,60245.61,479763.698,-0.30998270068781153,85.38163944539077,77.99736055460922,41.018334615780255,-97.10520191195505,31.907320039000066,81.53208333333333,81.53208333333333
24,600009.SH,2019-08-08,79.39,81.88,79.39,80.75,79.01,1.74,2.2023,82327.09,666594.95,-0.3161353801493192,85.36965629327439,78.06634370672559,47.61142659168867,-28.566122647473154,18.132822909512214,81.5008,81.5008
25,600009.SH,2019-08-09,81.47,81.59,79.9,80.15,80.75,-0.6,-0.743,48763.29,392420.94,-0.35934998267028107,85.34509812345662,77.91290187654336,45.78573444525716,-52.9659230930319,18.132822909512207,81.44884615384616,81.44884615384616
26,600009.SH,2019-08-12,80.0,81.38,80.0,81.37,80.15,1.22,1.5221,50065.62,404969.864,-0.30234504273022367,85.3540851783293,77.94091482167069,49.832177570209346,-30.613822046830542,18.132822909512214,81.44592592592592,81.44592592592592
27,600009.SH,2019-08-13,81.0,81.5,80.38,80.78,81.37,-0.59,-0.7251,50144.13,406004.759,-0.2965603610710872,85.31204704222317,78.10095295777684,48.038418934865675,-25.97253113266873,16.736849364533686,81.42214285714286,81.42214285714286
28,600009.SH,2019-08-14,81.37,82.27,81.18,81.5,80.78,0.72,0.8913,59259.17,483825.717,-0.23669584140182565,85.31977798821515,78.19022201178487,50.29702388287871,11.543569295867666,7.984191321514533,81.4248275862069,81.4248275862069
29,600009.SH,2019-08-15,80.19,82.49,79.55,82.07,81.5,0.57,0.6994,55286.72,450830.915,-0.1458155849999372,85.35762770471852,78.25837229528149,52.005523147933495,5.73426870912032,21.331493003461176,81.44633333333333,81.44633333333333
30,600009.SH,2019-08-16,82.4,85.26,82.32,84.84,82.07,2.77,3.3752,89637.9,756296.623,0.12944417595335267,85.76920808807269,78.17979191192732,59.077248684828746,154.2488250540872,3.9721981300608515,81.56099999999999,81.55580645161291
31,600009.SH,2019-08-19,85.51,86.27,83.71,84.86,84.84,0.02,0.0236,78178.48,661717.273,0.3444916542240435,86.12306701000298,78.10593298999703,59.122236483707205,152.50641143069365,11.191115208382373,81.73,81.6590625
32,600009.SH,2019-08-20,85.85,86.0,83.5,83.96,84.86,-0.9,-1.0606,60114.03,505595.166,0.4419502116946603,86.3050228152081,78.12197718479189,56.24390279984621,113.31388702290386,9.363813219702637,81.849,81.72878787878788
33,600009.SH,2019-08-21,84.0,85.01,82.91,85.0,83.96,1.04,1.2387,51278.17,433179.38,0.5904891689535816,86.64540191064529,78.11259808935469,58.650349335532276,118.61741160368014,4.219971418866295,81.96900000000001,81.825
34,600009.SH,2019-08-22,84.44,86.68,83.68,85.75,84.34,1.41,1.6718,65069.32,555802.567,0.7559814378510197,86.93965395619125,77.99334604380874,60.28001276591249,143.94882372640302,16.152493968455055,82.15466666666667,81.93714285714286
