index,tic,date,open,high,low,close,pre_close,change,pct_chg,volume,amount,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
0,600000.SH,2016-01-04,18.28,18.28,17.55,17.8,18.27,-0.47,-2.57,422406.1,754425.783,0.0,18.106274169979695,17.65372583002031,100.0,-66.66666666666987,100.0,17.8,17.8
1,600000.SH,2016-01-05,17.51,18.06,17.4,17.96,17.8,0.16,0.9,580547.93,1034181.474,0.003589743589746064,18.106274169979695,17.65372583002031,100.0,-66.66666666666987,100.0,17.880000000000003,17.880000000000003
2,600000.SH,2016-01-06,17.9,18.14,17.69,18.1,17.96,0.14,0.78,467726.53,838667.398,0.008915437473035581,18.253555473311934,17.653111193354732,100.0,99.99999999999822,27.379209370424185,17.953333333333333,17.953333333333333
3,600000.SH,2016-01-07,17.8,17.9,17.4,17.51,18.1,-0.59,-3.26,113504.79,199502.702,-0.010182552563904324,18.3490899064661,17.3359100935339,32.559439138386566,-133.33333333333334,69.82968369829652,17.8425,17.8425
4,600000.SH,2016-01-08,17.74,17.88,16.91,17.49,17.51,-0.02,-0.11,719182.96,1262105.06,-0.0211415923543683,18.312259197052676,17.23174080294732,31.80721365789539,-89.57230964054497,85.32432345903715,17.772,17.772
5,600000.SH,2016-01-11,17.21,17.45,16.96,17.05,17.49,-0.44,-2.52,901771.35,1550155.933,-0.04614672746767212,18.413917718923514,16.88941561440982,20.846311751849072,-143.7835616270933,85.32432345903716,17.651666666666667,17.651666666666667
6,600000.SH,2016-01-12,17.17,17.52,17.08,17.45,17.05,0.4,2.35,553744.54,964061.502,-0.04326722884395906,18.33519735050274,16.910516935211547,40.219826164546184,-65.05426132875617,70.98925436033957,17.622857142857143,17.622857142857143
7,600000.SH,2016-01-13,17.57,17.9,17.35,17.39,17.45,-0.06,-0.34,478693.12,843717.365,-0.04349434558884013,18.273492598341463,16.914007401658537,38.74818105901588,2.1048858813376996,18.01592790632043,17.59375,17.59375
8,600000.SH,2016-01-14,17.0,17.99,16.89,17.92,17.39,0.53,3.05,548388.33,966117.848,-0.01669460542050416,18.30201190465646,16.957988095343545,54.09638776378769,-0.7406594526521839,41.47719607015429,17.630000000000003,17.630000000000003
9,600000.SH,2016-01-15,17.8,18.15,17.52,17.58,17.92,-0.34,-1.9,467231.39,836146.426,-0.01495387819255356,18.25936757658492,16.99063242341508,46.38332551426689,90.86353496490479,27.87147623579882,17.625,17.625
10,600000.SH,2016-01-18,17.43,17.99,17.32,17.68,17.58,0.1,0.57,327290.06,583291.559,-0.008158728065108534,18.232727135609473,17.027272864390525,48.61258036507461,57.830909669919805,36.084699420994106,17.63,17.63
