date,600309.SH,600436.SH,600438.SH,600519.SH,600547.SH,600570.SH,600585.SH,600588.SH,600690.SH,600745.SH
2022-02-11,0,-1,-99,3,99,-96,99,2,-100,0
2022-02-14,90,0,-11,0,-99,-98,-94,0,99,0
2022-02-15,0,0,0,6,-60,-95,-99,1,-88,13
2022-02-16,0,0,0,5,0,-97,-82,3,-44,3
2022-02-17,0,0,0,1,0,-98,0,0,99,7
2022-02-18,-34,0,0,2,95,-94,99,0,-85,5
2022-02-21,-49,0,0,4,-95,-97,92,2,-14,6
2022-02-22,0,0,0,1,100,-96,26,0,0,0
2022-02-23,-7,0,0,4,99,-96,-90,0,0,2
2022-02-24,0,0,0,2,98,-95,-99,22,100,0
2022-02-25,0,0,0,7,-99,-96,-98,31,-100,0
2022-02-28,0,0,0,0,100,-94,-1,10,99,0
2022-03-01,16,0,0,2,99,-91,0,1,-99,0
2022-03-02,-8,0,31,0,100,-23,-98,0,99,0
2022-03-03,48,0,0,0,95,0,-98,2,-99,0
2022-03-04,6,0,-31,0,99,0,-32,1,0,0
2022-03-07,0,0,0,0,99,0,-99,2,0,17
2022-03-08,0,0,0,0,52,0,-85,0,99,0
2022-03-09,9,0,64,2,-9,0,-95,2,-99,-11
2022-03-10,0,0,0,0,99,0,-99,65,0,0
2022-03-11,0,0,0,0,99,0,-83,4,0,9
2022-03-14,0,0,0,0,100,0,-62,0,12,0
2022-03-15,-65,0,2,0,-44,0,-46,0,-12,75
2022-03-16,-6,0,55,0,-99,0,-5,0,0,0
2022-03-17,0,0,0,0,0,0,0,0,0,0
2022-03-18,0,0,0,0,-99,0,0,0,85,0
2022-03-21,0,0,0,0,-100,0,0,0,85,0
2022-03-22,29,0,0,0,-99,0,0,76,-100,0
2022-03-23,-29,0,0,0,-100,0,0,2,-70,56
2022-03-24,0,0,0,0,-99,0,0,1,0,22
2022-03-25,0,0,0,0,0,0,0,0,0,0
2022-03-28,0,0,0,0,0,0,0,0,0,0
2022-03-29,0,0,0,0,-99,0,9,-14,99,0
2022-03-30,0,0,0,0,1,0,57,0,-99,0
2022-03-31,0,0,45,0,-99,0,-54,1,100,0
2022-04-01,0,0,0,0,99,0,-12,0,-98,8
2022-04-06,0,0,0,0,0,0,0,0,0,0
2022-04-07,0,0,0,0,0,0,0,0,0,0
2022-04-08,0,0,0,0,-91,0,0,0,92,0
2022-04-11,0,0,0,0,0,0,0,0,0,0
2022-04-12,0,0,0,0,-99,0,0,-7,99,2
2022-04-13,0,0,0,0,-99,0,79,-41,0,0
2022-04-14,0,0,91,0,-88,0,-69,0,1,17
2022-04-15,0,0,0,0,-16,0,0,-46,52,0
2022-04-18,0,0,0,0,0,0,-10,0,17,0
2022-04-19,0,0,0,0,0,0,38,-73,0,0
2022-04-20,0,0,55,0,0,0,-38,-35,0,0
2022-04-21,0,0,0,0,5,0,0,-5,0,0
2022-04-22,0,0,0,0,-5,0,89,-46,-99,0
2022-04-25,0,0,0,0,0,0,-14,-24,41,0
2022-04-26,0,0,34,0,0,0,-75,-47,99,0
2022-04-27,0,0,0,0,0,0,91,-69,-99,0
2022-04-28,0,0,28,0,100,0,-8,-12,-99,0
2022-04-29,0,0,0,0,49,0,-83,-10,99,0
2022-05-05,30,0,0,0,-100,0,0,-30,0,0
2022-05-06,-30,0,0,0,-49,0,0,-32,1,63
2022-05-09,0,0,0,0,62,0,0,-55,-6,0
2022-05-10,0,0,0,0,99,0,0,-60,-99,29
2022-05-11,0,0,0,0,62,0,0,-60,0,0
2022-05-12,0,0,0,0,0,0,0,-65,47,0
2022-05-13,0,0,0,0,70,0,0,-68,0,0
2022-05-16,0,0,55,0,0,0,0,-65,-38,0
