date,8+,3+,sse
2021-11-08,1000000.0,1000000.0,1000000.0
2021-11-09,996764.539,996798.84929,983822.5071869048
2021-11-10,988841.115,996201.99437,964633.155752467
2021-11-11,994308.2114,998603.0971100002,973154.9296029671
2021-11-12,996618.505,999447.9116700004,975890.7461147752
2021-11-15,989303.4008000002,995824.8376200004,969489.3820757627
2021-11-16,1009296.5223000002,1011904.1496200004,995145.4527890545
2021-11-17,1001590.63128,1003608.3020700004,987922.9324351924
2021-11-18,997812.17148,999346.4048600002,986199.1545648098
2021-11-19,1015637.7968000002,1016211.5800200003,1005346.9263961597
2021-11-22,1030329.0494500002,1024333.26231,1018933.7649307495
2021-11-23,1051307.4967900002,1044325.8139200005,1041053.8747087669
2021-11-24,1073634.8608100004,1063656.6874200003,1064302.0208633456
2021-11-25,1079643.1758100002,1069754.9527700006,1071861.1866220492
2021-11-26,1071688.31101,1061953.972750001,1063754.624932487
2021-11-29,1095997.69708,1078356.1025200004,1086882.429868803
2021-11-30,1074289.2255400002,1062211.2654000004,1058913.8423405169
2021-12-01,1077544.71155,1061994.4313800004,1059554.2822436215
2021-12-02,1078860.90674,1062626.4765500005,1060782.3400327559
2021-12-03,1097897.07346,1074805.4267500003,1081867.4924174356
2021-12-06,1093238.0950900002,1073538.4751500003,1079002.0737532629
2021-12-07,1087538.21533,1074348.7747500003,1073417.5536668424
2021-12-08,1135289.4273200002,1097271.8908600004,1119926.1963636593
2021-12-09,1153527.8344500002,1115030.0348500004,1143531.9361581397
2021-12-10,1154292.2067900004,1113988.1035900004,1144779.1629880972
2021-12-13,1167903.97105,1128890.4405000005,1160482.009853065
2021-12-14,1184071.3402000004,1142625.5470200004,1177458.8018751116
2021-12-15,1177016.8419900003,1134441.0109600006,1168979.9932136699
2021-12-16,1168712.06312,1128518.4203600006,1160345.787443077
2021-12-17,1141025.16024,1096646.8173000002,1124031.2812548124
2021-12-20,1143463.5945900003,1098985.0142900003,1128184.7244401933
2021-12-21,1134505.1359400002,1093069.0170200004,1117861.1024825356
2021-12-22,1140693.0306600002,1096667.1010600002,1123738.2436142487
2021-12-23,1173998.5962500004,1130943.5340500004,1161536.9281011587
2021-12-24,1208996.0218100003,1157663.4191600005,1200509.6304024751
2021-12-27,1178526.6109100005,1136846.833440001,1167262.4076889597
2021-12-28,1177507.042,1138992.5592600005,1170742.3627300542
2021-12-29,1137691.8403500002,1105711.9607400005,1116969.5330793126
2021-12-30,1156776.1471600004,1112226.6056400004,1134654.2396462248
2021-12-31,1142618.5645000003,1104736.7400900004,1122298.6431315187
2022-01-04,1144176.5345000003,1107083.8545100004,1122583.9910882278
2022-01-05,1126435.2257100004,1098033.1132900005,1107247.606249936
2022-01-06,1111596.0083900003,1073237.4884500003,1084652.7840382985
2022-01-07,1088938.4744900004,1053693.7071400003,1063117.7932819745
2022-01-10,1098339.2599800003,1063994.0435800003,1075578.2964784205
2022-01-11,1081519.5494700002,1047599.7538600006,1061614.7960522836
2022-01-12,1091932.0630400004,1061947.6238000004,1075766.8786898474
2022-01-13,1048086.7770300008,1020341.7076900008,1027854.2105538703
2022-01-14,1046018.0957400004,1015073.3469800008,1022192.1096770725
2022-01-17,1046595.3787100004,1018551.5369800004,1019831.7123439215
2022-01-18,1060847.1947800007,1034392.3659800004,1036636.505334053
2022-01-19,1066233.0201900003,1046332.5634500008,1046375.1041081486
2022-01-20,1092844.3475300004,1071736.8110300004,1076370.3625608135
2022-01-21,1097818.0666600005,1077086.599830001,1083825.4452798713
2022-01-24,1085657.0866800006,1064080.4894700006,1065610.4833080883
2022-01-25,1080028.0969500004,1054225.4548700007,1060896.0051172895
2022-01-26,1085938.4979800007,1060772.4282700005,1067516.0144809932
2022-01-27,1080409.5144800006,1062235.1481500007,1071858.1261674834
2022-01-28,1047766.7043100004,1029884.5309000004,1030079.540485655
2022-02-07,1042131.6195500006,1025121.6083100006,1020499.3009616218
2022-02-08,1029492.7382000004,1012803.4676200006,1004761.6786472345
2022-02-09,1057043.6159400004,1040408.5727700006,1035092.8009465499
2022-02-10,1047371.4801400003,1026745.5125200008,1023141.401926973
2022-02-11,1033038.8301400008,1010345.6625200008,1010334.7628751738
2022-02-14,1039705.5481400006,1013298.4322900006,1020107.6193605923
2022-02-15,1050572.4884500003,1026783.5115400006,1032449.2344711776
2022-02-16,1049601.8634500003,1026912.4492700008,1033544.8358291398
2022-02-17,1050514.5184500006,1024147.5944700004,1030851.5940809406
2022-02-18,1048895.4162000006,1033664.9386000008,1041447.4327567487
2022-02-21,1048936.5512000003,1020270.8418900009,1025393.1025516241
2022-02-22,1048372.7662000004,984240.7388900009,988669.2801925442
2022-02-23,1049178.4922000004,994373.6084400008,999445.3613941346
2022-02-24,1048827.3124800003,960050.8125600006,965585.0515459905
2022-02-25,1048606.6244800005,977410.4285500004,984508.4871773459
2022-02-28,1048534.3084800006,973003.3681900006,980163.6304887364
2022-03-01,1048291.2374800004,1006662.9043200008,1016186.5974355582
2022-03-02,1047878.6794800004,999358.3782700008,1008674.1879536123
2022-03-03,1047466.4404800006,977210.9708600008,983905.2381274839
2022-03-04,1045867.2354800006,965280.2449400008,972104.285523337
2022-03-07,1042172.4544800004,926220.4406500004,932151.4844944584
2022-03-08,1040572.5014800004,946792.1336400008,956126.5144246006
2022-03-09,1039108.7514800006,958557.5228000004,969905.1144503207
2022-03-10,1037882.1084800004,965310.0459300006,978257.2056517819
2022-03-11,1037788.5329600004,952176.9455100008,965216.9535518056
2022-03-14,1035935.7919600004,915520.0558200006,927579.9172249949
2022-03-15,1032709.8699600004,863538.7029400007,875396.1516895102
2022-03-16,1037511.8999600004,902700.8663900006,914367.655130071
2022-03-17,1037615.0409600006,925106.2743700008,938884.015958046
2022-03-18,1037639.9179600006,918623.9343700004,932187.940117167
2022-03-21,1035193.2539600006,915879.5303300006,930312.5781513988
2022-03-22,1034661.2359600008,910848.0829300004,924956.2253146968
2022-03-23,1035236.7759600008,939629.6478700008,955772.7712849664
2022-03-24,1031243.9769600006,920936.9205900008,938688.4754031897
2022-03-25,1030917.4449600006,905892.5569900008,921850.0690451846
2022-03-28,1030280.1429600006,890667.9969900006,906360.1798124212
2022-03-29,1029899.2199600006,892483.3369900007,909389.3985740673
2022-03-30,1031313.7279600004,924387.5352400008,943643.9129355206
2022-03-31,1029781.7559600004,917327.6679000003,937339.4182601387
2022-04-01,1029554.9459600004,947505.7629900008,969811.3111995959
2022-04-06,1027862.1819600004,938675.0518700008,961412.9772157184
2022-04-07,1024982.2819600004,936933.2618700006,961264.8174768803
2022-04-08,1023969.6149600004,946217.0918700008,971202.2237898023
2022-04-11,1020363.9329600004,911869.5748600004,936529.7897517929
2022-04-12,1023925.1579600004,944118.6548600008,969802.3681934645
