index_code,con_code,trade_date,weight
000016.SH,603288.SH,20230228,1.647
000016.SH,688599.SH,20230228,0.965
000016.SH,601633.SH,20230228,0.614
000016.SH,600276.SH,20230228,2.801
000016.SH,600031.SH,20230228,1.606
000016.SH,600104.SH,20230228,1.013
000016.SH,600519.SH,20230228,16.428
000016.SH,600406.SH,20230228,1.267
000016.SH,600893.SH,20230228,0.882
000016.SH,600196.SH,20230228,0.618
000016.SH,601601.SH,20230228,1.363
000016.SH,600436.SH,20230228,1.343
000016.SH,601628.SH,20230228,0.859
000016.SH,601888.SH,20230228,2.782
000016.SH,600745.SH,20230228,0.581
000016.SH,600309.SH,20230228,2.832
000016.SH,601899.SH,20230228,2.372
000016.SH,600036.SH,20230228,6.66
000016.SH,603259.SH,20230228,2.447
000016.SH,600585.SH,20230228,1.062
000016.SH,600028.SH,20230228,0.899
000016.SH,601088.SH,20230228,1.332
000016.SH,601066.SH,20230228,0.502
000016.SH,601995.SH,20230228,0.53
000016.SH,600048.SH,20230228,1.563
000016.SH,601398.SH,20230228,2.173
000016.SH,603986.SH,20230228,1.009
000016.SH,600346.SH,20230228,0.537
000016.SH,600690.SH,20230228,1.436
000016.SH,600900.SH,20230228,3.47
000016.SH,601919.SH,20230228,0.99
000016.SH,600438.SH,20230228,1.632
000016.SH,600111.SH,20230228,0.913
000016.SH,601688.SH,20230228,0.936
000016.SH,603260.SH,20230228,0.334
000016.SH,601857.SH,20230228,0.733
000016.SH,600030.SH,20230228,2.907
000016.SH,600887.SH,20230228,2.811
000016.SH,601669.SH,20230228,0.713
000016.SH,600809.SH,20230228,1.989
000016.SH,601318.SH,20230228,7.53
000016.SH,600010.SH,20230228,0.674
000016.SH,603799.SH,20230228,1.09
000016.SH,601012.SH,20230228,3.87
000016.SH,601225.SH,20230228,1.118
000016.SH,601288.SH,20230228,1.349
000016.SH,601166.SH,20230228,3.546
000016.SH,600905.SH,20230228,0.692
000016.SH,603501.SH,20230228,0.881
000016.SH,601668.SH,20230228,1.699
000016.SH,603986.SH,20230131,1.074
000016.SH,601628.SH,20230131,0.797
000016.SH,601166.SH,20230131,3.603
000016.SH,603259.SH,20230131,2.691
000016.SH,600905.SH,20230131,0.694
000016.SH,600104.SH,20230131,0.987
000016.SH,600809.SH,20230131,2.001
000016.SH,601899.SH,20230131,2.39
000016.SH,600030.SH,20230131,2.938
000016.SH,600346.SH,20230131,0.52
000016.SH,601318.SH,20230131,7.765
000016.SH,603260.SH,20230131,0.281
000016.SH,600010.SH,20230131,0.654
000016.SH,600309.SH,20230131,2.559
000016.SH,601688.SH,20230131,0.939
000016.SH,688599.SH,20230131,1.089
000016.SH,600893.SH,20230131,0.85
000016.SH,600585.SH,20230131,0.993
000016.SH,601012.SH,20230131,4.107
000016.SH,600887.SH,20230131,2.932
000016.SH,603501.SH,20230131,0.941
000016.SH,600111.SH,20230131,0.89
000016.SH,601288.SH,20230131,1.306
000016.SH,601066.SH,20230131,0.493
000016.SH,600519.SH,20230131,16.302
000016.SH,601088.SH,20230131,1.317
000016.SH,600436.SH,20230131,1.318
000016.SH,601669.SH,20230131,0.68
000016.SH,600276.SH,20230131,2.65
000016.SH,601888.SH,20230131,2.914
000016.SH,600406.SH,20230131,1.242
000016.SH,601633.SH,20230131,0.537
000016.SH,600745.SH,20230131,0.614
000016.SH,601919.SH,20230131,0.952
000016.SH,600690.SH,20230131,1.368
000016.SH,600196.SH,20230131,0.608
000016.SH,600048.SH,20230131,1.589
000016.SH,601995.SH,20230131,0.492
000016.SH,603799.SH,20230131,1.182
000016.SH,601225.SH,20230131,1.066
000016.SH,601857.SH,20230131,0.706
000016.SH,601398.SH,20230131,2.129
000016.SH,600438.SH,20230131,1.603
000016.SH,600031.SH,20230131,1.465
000016.SH,600900.SH,20230131,3.324
000016.SH,600028.SH,20230131,0.85
000016.SH,601601.SH,20230131,1.242
000016.SH,603288.SH,20230131,1.551
000016.SH,601668.SH,20230131,1.633
000016.SH,600036.SH,20230131,7.172
000016.SH,600406.SH,20221230,1.223
000016.SH,601225.SH,20221230,1.079
000016.SH,600519.SH,20221230,16.242
000016.SH,600010.SH,20221230,0.655
000016.SH,600809.SH,20221230,2.082
000016.SH,600745.SH,20221230,0.589
000016.SH,601668.SH,20221230,1.705
000016.SH,603501.SH,20221230,0.82
000016.SH,600036.SH,20221230,6.905
000016.SH,600111.SH,20221230,0.818
000016.SH,601088.SH,20221230,1.364
000016.SH,600438.SH,20221230,1.56
000016.SH,601888.SH,20221230,3.158
000016.SH,601899.SH,20221230,2.158
000016.SH,601688.SH,20221230,0.982
000016.SH,603288.SH,20221230,1.657
000016.SH,601857.SH,20221230,0.723
000016.SH,600346.SH,20221230,0.491
000016.SH,600276.SH,20221230,2.576
000016.SH,603799.SH,20221230,1.065
000016.SH,601995.SH,20221230,0.501
000016.SH,688599.SH,20221230,1.036
000016.SH,601601.SH,20221230,1.257
000016.SH,600436.SH,20221230,1.303
000016.SH,600104.SH,20221230,1.008
000016.SH,600030.SH,20221230,2.91
000016.SH,600900.SH,20221230,3.575
000016.SH,600585.SH,20221230,0.984
000016.SH,601398.SH,20221230,2.278
000016.SH,600690.SH,20221230,1.386
000016.SH,601166.SH,20221230,3.83
000016.SH,600309.SH,20221230,2.613
000016.SH,601919.SH,20221230,0.981
000016.SH,600031.SH,20221230,1.406
000016.SH,600028.SH,20221230,0.873
000016.SH,600196.SH,20221230,0.67
000016.SH,601628.SH,20221230,0.926
000016.SH,600893.SH,20221230,0.844
000016.SH,601633.SH,20221230,0.547
000016.SH,600048.SH,20221230,1.627
000016.SH,603260.SH,20221230,0.267
000016.SH,601669.SH,20221230,0.803
000016.SH,600905.SH,20221230,0.726
000016.SH,601012.SH,20221230,3.838
000016.SH,603259.SH,20221230,2.489
000016.SH,603986.SH,20221230,1.023
000016.SH,601288.SH,20221230,1.391
000016.SH,600887.SH,20221230,2.97
000016.SH,601066.SH,20221230,0.462
000016.SH,601318.SH,20221230,7.623
000016.SH,600809.SH,20221130,1.921
000016.SH,601166.SH,20221130,3.957
000016.SH,600893.SH,20221130,0.934
000016.SH,600837.SH,20221130,1.327
000016.SH,601066.SH,20221130,0.491
000016.SH,600111.SH,20221130,0.877
000016.SH,603986.SH,20221130,1.034
000016.SH,600570.SH,20221130,0.934
000016.SH,601318.SH,20221130,7.487
000016.SH,601398.SH,20221130,2.317
000016.SH,600346.SH,20221130,0.545
000016.SH,603799.SH,20221130,1.221
000016.SH,601728.SH,20221130,0.363
000016.SH,601888.SH,20221130,2.964
000016.SH,600309.SH,20221130,2.16
000016.SH,600196.SH,20221130,0.725
000016.SH,601088.SH,20221130,1.549
000016.SH,601012.SH,20221130,4.267
000016.SH,600104.SH,20221130,1.091
000016.SH,600900.SH,20221130,3.71
000016.SH,601668.SH,20221130,1.896
000016.SH,601601.SH,20221130,1.281
000016.SH,600438.SH,20221130,1.799
000016.SH,601288.SH,20221130,1.414
000016.SH,601919.SH,20221130,1.229
000016.SH,601633.SH,20221130,0.606
000016.SH,600745.SH,20221130,0.633
000016.SH,603501.SH,20221130,0.888
000016.SH,600690.SH,20221130,1.428
000016.SH,600010.SH,20221130,0.697
000016.SH,600519.SH,20221130,15.442
000016.SH,600585.SH,20221130,1.055
000016.SH,600588.SH,20221130,0.605
000016.SH,600436.SH,20221130,1.182
000016.SH,600031.SH,20221130,1.454
000016.SH,600048.SH,20221130,1.839
000016.SH,601211.SH,20221130,0.97
000016.SH,600036.SH,20221130,6.653
000016.SH,601688.SH,20221130,1.183
000016.SH,600887.SH,20221130,2.271
000016.SH,601857.SH,20221130,0.783
000016.SH,601899.SH,20221130,2.179
000016.SH,600028.SH,20221130,0.932
000016.SH,603288.SH,20221130,1.504
000016.SH,600905.SH,20221130,0.766
000016.SH,600030.SH,20221130,2.974
000016.SH,601628.SH,20221130,0.926
000016.SH,601995.SH,20221130,0.345
000016.SH,600276.SH,20221130,2.734
000016.SH,603259.SH,20221130,2.46
000016.SH,601857.SH,20221031,0.812
000016.SH,600893.SH,20221031,1.132
000016.SH,601288.SH,20221031,1.538
000016.SH,600104.SH,20221031,1.122
000016.SH,600031.SH,20221031,1.401
000016.SH,601318.SH,20221031,6.835
000016.SH,600570.SH,20221031,1.106
000016.SH,600276.SH,20221031,3.133
