trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20101011,600585.SH,23.27,25.05,22.84,24.65,23.32,1.33,5.7,504007.13,1212977.517
20101012,600585.SH,24.21,24.92,24.1,24.79,24.65,0.14,0.57,236368.75,579252.79
20101013,600585.SH,26.0,27.15,25.4,25.78,24.79,0.99,3.99,403491.31,1055786.282
20101014,600585.SH,25.78,26.04,24.71,24.73,25.78,-1.05,-4.07,356932.95,903696.057
20101015,600585.SH,24.68,24.86,23.83,24.3,24.73,-0.43,-1.74,303945.12,738914.422
20101018,600585.SH,24.35,24.8,22.97,23.2,24.3,-1.1,-4.53,394285.64,926933.207
20101019,600585.SH,23.2,24.15,23.0,23.93,23.2,0.73,3.15,194056.21,461458.104
20101020,600585.SH,23.1,25.26,23.0,24.46,23.93,0.53,2.21,362606.08,882296.788
20101021,600585.SH,24.6,25.52,24.6,25.19,24.46,0.73,2.98,287818.85,725705.801
20101022,600585.SH,25.36,26.55,25.01,26.29,25.19,1.1,4.37,373577.04,969980.87
20101025,600585.SH,26.3,27.54,25.7,27.26,26.29,0.97,3.69,428081.84,1147032.324
20101026,600585.SH,28.2,28.3,26.5,26.56,27.26,-0.7,-2.57,448170.15,1219135.722
20101027,600585.SH,26.6,27.25,25.44,25.66,26.56,-0.9,-3.39,237394.99,623047.915
20101028,600585.SH,25.7,25.96,25.02,25.35,25.66,-0.31,-1.21,187931.9,478721.654
20101029,600585.SH,25.5,26.61,25.4,26.6,25.35,1.25,4.93,183608.83,477555.046
20101101,600585.SH,26.66,26.94,26.19,26.89,26.6,0.29,1.09,231146.49,615303.031
20101102,600585.SH,27.1,27.28,25.91,26.0,26.89,-0.89,-3.31,259480.39,686357.578
20101103,600585.SH,25.98,26.2,25.33,25.78,26.0,-0.22,-0.85,207592.75,534460.845
20101104,600585.SH,25.78,25.98,25.63,25.94,25.78,0.16,0.62,176750.5,455502.313
20101105,600585.SH,26.11,26.35,25.82,26.01,25.94,0.07,0.27,246180.42,641261.322
20101108,600585.SH,26.11,26.43,25.44,26.38,26.01,0.37,1.42,277384.04,719494.049
20101109,600585.SH,26.38,27.36,26.11,27.1,26.38,0.72,2.73,406947.96,1097910.572
20101110,600585.SH,26.82,27.02,25.95,26.17,27.1,-0.93,-3.43,329309.97,872125.423
20101111,600585.SH,25.81,26.3,25.66,25.92,26.17,-0.25,-0.96,297663.39,774577.783
20101112,600585.SH,25.8,25.8,23.33,23.66,25.92,-2.26,-8.72,599922.87,1447273.334
20101115,600585.SH,23.5,23.73,22.25,23.13,23.66,-0.53,-2.24,320649.42,739705.91
20101116,600585.SH,23.2,24.12,22.96,23.29,23.13,0.16,0.69,380107.38,896742.166
20101117,600585.SH,23.0,23.5,21.5,21.84,23.29,-1.45,-6.23,261010.62,588165.165
20101118,600585.SH,22.33,22.84,22.2,22.79,21.84,0.95,4.35,256527.08,578748.201
20101119,600585.SH,22.95,22.95,21.73,22.72,22.79,-0.07,-0.31,190068.52,426285.601
20101122,600585.SH,22.7,23.5,22.34,23.18,22.72,0.46,2.02,156818.46,362059.674
20101123,600585.SH,23.0,23.0,22.08,22.45,23.18,-0.73,-3.15,139469.37,312819.119
20101124,600585.SH,22.3,23.47,22.21,23.29,22.45,0.84,3.74,208153.42,481999.425
20101125,600585.SH,23.44,25.25,23.44,24.64,23.29,1.35,5.8,452684.3,1112112.215
20101126,600585.SH,24.61,25.01,24.05,24.31,24.64,-0.33,-1.34,193832.7,477306.052
20101129,600585.SH,24.3,25.1,24.14,24.88,24.31,0.57,2.34,186713.81,463370.806
20101130,600585.SH,25.16,26.98,24.89,26.78,24.88,1.9,7.64,948533.61,2460995.639
20101201,600585.SH,26.59,27.54,26.35,26.6,26.78,-0.18,-0.67,480969.4,1298706.853
20101202,600585.SH,26.92,27.58,26.4,27.02,26.6,0.42,1.58,522108.38,1417807.739
20101203,600585.SH,27.15,27.57,26.4,26.78,27.02,-0.24,-0.89,269769.42,727891.331
20101206,600585.SH,27.02,28.09,27.02,28.0,26.78,1.22,4.56,613005.13,1704723.444
20101207,600585.SH,28.12,29.1,27.4,28.8,28.0,0.8,2.86,595007.79,1697696.312
20101208,600585.SH,28.86,29.62,28.09,28.28,28.8,-0.52,-1.81,432355.29,1247923.701
20101209,600585.SH,28.26,28.45,27.27,27.42,28.28,-0.86,-3.04,218989.95,607707.433
20101210,600585.SH,27.29,28.16,27.01,27.92,27.42,0.5,1.82,189098.84,525917.364
20101213,600585.SH,28.0,29.6,28.0,29.58,27.92,1.66,5.95,423612.35,1239267.9
20101214,600585.SH,29.6,31.03,29.35,30.77,29.58,1.19,4.02,481985.21,1463876.051
20101215,600585.SH,30.9,30.99,29.48,29.51,30.77,-1.26,-4.09,304915.33,913243.929
20101216,600585.SH,29.51,30.6,29.26,29.81,29.51,0.3,1.02,163293.44,489364.28
20101217,600585.SH,29.83,30.29,29.18,29.64,29.81,-0.17,-0.57,132964.69,395214.955
20101220,600585.SH,29.5,29.85,27.55,28.52,29.64,-1.12,-3.78,277006.49,790252.887
20101221,600585.SH,28.74,29.6,28.18,29.58,28.52,1.06,3.72,173293.83,502980.827
20101222,600585.SH,29.63,30.48,28.96,29.55,29.58,-0.03,-0.1,210441.64,631462.041
20101223,600585.SH,29.45,29.5,28.45,28.56,29.55,-0.99,-3.35,147797.09,426442.491
20101224,600585.SH,28.55,28.85,28.0,28.28,28.56,-0.28,-0.98,87974.42,250123.805
20101227,600585.SH,28.5,30.03,28.3,28.82,28.28,0.54,1.91,276531.92,811541.421
20101228,600585.SH,28.5,28.82,28.01,28.09,28.82,-0.73,-2.53,178887.66,505463.787
20101229,600585.SH,28.09,28.3,27.2,27.85,28.09,-0.24,-0.85,137391.78,380203.652
20101230,600585.SH,28.12,29.0,27.71,28.39,27.85,0.54,1.94,202418.0,574727.075
20101231,600585.SH,28.5,29.99,28.3,29.68,28.39,1.29,4.54,286593.59,847611.142
20110104,600585.SH,29.88,31.22,29.88,30.73,29.68,1.05,3.54,399631.94,1233127.363
20110105,600585.SH,30.76,32.0,30.37,31.0,30.73,0.27,0.88,363210.03,1140193.834
20110106,600585.SH,31.5,31.75,31.0,31.33,31.0,0.33,1.06,159952.36,501002.578
20110107,600585.SH,31.33,31.49,30.5,30.78,31.33,-0.55,-1.76,240965.29,744840.497
20110110,600585.SH,30.7,30.7,29.19,29.38,30.78,-1.4,-4.55,321609.63,959443.1
20110111,600585.SH,29.0,29.8,28.72,29.07,29.38,-0.31,-1.06,266619.26,779733.618
20110112,600585.SH,29.19,29.25,28.2,28.78,29.07,-0.29,-1.0,151601.21,436553.242
20110113,600585.SH,28.89,28.9,27.61,28.15,28.78,-0.63,-2.19,293272.04,821253.989
20110114,600585.SH,28.1,28.1,27.0,27.09,28.15,-1.06,-3.77,237262.65,647371.914
20110117,600585.SH,26.9,26.9,26.0,26.49,27.09,-0.6,-2.21,212881.49,559104.467
20110118,600585.SH,26.2,27.45,26.16,27.34,26.49,0.85,3.21,168085.73,454033.417
20110119,600585.SH,27.36,28.1,26.82,27.83,27.34,0.49,1.79,139978.05,386925.913
20110120,600585.SH,27.83,27.83,26.31,26.34,27.83,-1.49,-5.35,131080.02,351884.954
20110121,600585.SH,26.2,27.57,26.08,26.77,26.34,0.43,1.63,151839.8,405437.119
