,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close
ts_code,600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600340.SH,600519.SH,600547.SH,600585.SH,600690.SH,600703.SH,600837.SH,600887.SH,601012.SH,601066.SH,601088.SH,601111.SH,601138.SH,601166.SH,601186.SH,601211.SH,601236.SH,601288.SH,601318.SH,601319.SH,601328.SH,601336.SH,601390.SH,601398.SH,601601.SH,601628.SH,601668.SH,601688.SH,601766.SH,601818.SH,601857.SH,601888.SH,601939.SH,601988.SH,601989.SH,603259.SH,603993.SH
trade_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20101011,13.89,13.2,5.33,8.68,12.42,30.24,13.9,13.42,5.28,17.23,13.97,46.91,17.81,10.31,167.8,61.71,24.65,23.09,45.47,10.37,40.9,,,27.43,12.99,,25.4,7.66,,,2.7,58.2,,6.11,,4.46,4.2,24.86,23.45,3.57,14.89,5.79,3.58,10.78,24.88,4.76,3.42,8.92,,
20101012,13.96,13.29,5.3,9.02,12.93,32.42,13.84,13.64,5.32,18.95,13.75,45.35,19.1,10.05,166.6,63.52,24.79,23.16,45.76,10.27,39.18,,,28.07,13.8,,25.35,7.63,,,2.68,58.51,,6.07,,4.44,4.19,24.99,23.28,3.57,14.92,5.8,3.58,11.15,24.57,4.75,3.42,8.93,,
20101013,14.44,13.43,5.4,8.9,12.84,32.01,14.49,15.0,5.18,19.84,13.67,45.1,19.24,10.11,161.0,62.66,25.78,24.76,44.53,10.29,39.65,,,27.52,13.77,,26.91,7.76,,,2.71,59.3,,6.19,,4.57,4.23,25.59,23.73,,15.0,6.15,3.81,11.02,24.45,4.82,3.45,8.86,,
20101014,14.39,13.31,5.45,9.01,13.65,32.18,14.53,14.98,5.34,19.64,13.5,45.2,18.69,9.85,158.44,65.15,24.73,24.08,43.15,10.68,38.31,,,27.55,13.86,,27.01,7.74,,,2.79,60.8,,6.25,,4.54,4.38,25.75,24.32,3.74,15.28,6.17,4.19,11.34,22.49,4.92,3.5,8.77,,
20101015,15.25,14.25,5.69,9.4,14.96,33.84,15.23,15.53,5.53,19.94,13.63,44.23,19.0,9.65,159.98,64.27,24.3,23.87,43.18,11.47,37.02,,,28.46,15.2,,28.15,7.95,,,2.95,62.7,,6.66,,4.77,4.67,26.98,25.59,3.79,16.3,6.39,4.57,11.55,22.49,5.2,3.65,9.55,,
20101018,15.35,14.5,5.8,9.37,15.23,35.24,15.28,15.61,5.47,18.76,13.2,44.87,19.82,9.17,162.42,58.51,23.2,23.94,41.17,11.67,37.51,,,28.09,14.8,,28.92,8.4,,,2.95,60.49,,6.66,,5.25,4.67,26.43,26.26,3.9,17.17,6.25,4.51,11.4,22.5,5.24,3.62,9.46,,
20101019,15.36,14.75,5.82,9.42,15.48,38.69,15.49,15.16,5.61,20.64,13.49,45.87,19.93,9.34,163.27,59.79,23.93,24.8,43.1,11.74,38.7,,,29.14,15.51,,29.13,8.34,,,2.94,62.63,,6.77,,5.16,4.63,26.98,26.67,3.88,17.15,6.32,4.56,11.44,23.33,5.29,3.62,9.78,,
20101020,15.27,14.51,5.8,9.12,15.99,41.05,15.73,13.98,5.45,21.21,14.19,46.86,20.13,9.52,167.41,58.78,24.46,25.48,43.01,11.86,39.36,,,29.38,15.79,,28.83,8.11,,,2.94,66.98,,6.66,,5.04,4.59,28.67,27.88,3.74,17.78,6.27,4.7,11.26,23.36,5.29,3.61,9.63,,
