date,600009.SH,600031.SH,600196.SH,600309.SH,600340.SH,600519.SH,600703.SH,600837.SH,601066.SH,601211.SH,601236.SH,601288.SH,601328.SH,601398.SH,601818.SH,601857.SH,601888.SH,601939.SH,601988.SH,603993.SH
2022-01-10,-100,100,50,17,-82,11,-100,-100,100,100,0,-68,100,0,95,-67,-27,98,-100,-70
2022-01-11,5,-89,-100,100,100,-100,100,-17,53,76,100,81,-100,0,64,70,-55,100,38,-25
2022-01-12,-21,-100,-86,-33,-39,-7,100,0,-100,22,100,-22,-76,0,72,-100,30,-22,98,0
2022-01-13,10,-48,-29,-4,-79,29,-54,0,-43,100,-100,-100,-100,100,100,18,61,-53,-47,36
2022-01-14,100,6,0,5,14,-78,-17,100,-83,84,-91,100,100,100,81,100,-100,100,-100,79
2022-01-17,-18,84,22,-85,-14,-87,-22,-91,-100,-9,-70,-4,30,-38,90,-62,100,3,-17,100
2022-01-18,-92,-75,-22,17,54,20,-82,-9,-31,-74,-14,40,-84,55,-100,12,99,-74,33,-100
2022-01-19,86,-50,0,32,92,37,-34,28,-60,100,100,59,-33,-53,-93,93,-100,12,-9,-44
2022-01-20,-86,-100,0,-43,21,-65,0,33,-29,44,20,-70,-32,-76,38,100,30,-16,-36,-18
2022-01-21,100,-54,100,100,100,63,63,100,-79,-100,41,9,34,-88,0,-88,100,-100,-100,69
2022-01-24,-10,0,100,-50,100,16,-63,50,100,-100,-35,-100,55,0,100,-100,-1,-14,3,11
2022-01-25,-81,0,-100,75,-100,-19,25,9,-96,-100,31,-21,4,0,-93,27,84,-2,100,51
2022-01-26,100,61,51,-100,-49,72,-25,29,-100,-34,67,-60,31,0,5,43,-90,-74,100,88
2022-01-27,-13,-61,-100,100,-100,-46,54,-47,-100,7,-87,-10,8,100,100,100,85,-100,35,0
2022-01-28,-96,0,61,-32,4,37,33,-73,100,100,100,82,-100,-6,95,-6,100,-88,-62,50
2022-02-07,100,100,30,100,-53,-97,-49,100,63,-66,39,73,56,-94,-76,-14,-22,-61,100,-100
2022-02-08,55,100,-24,58,70,100,100,-100,-87,-29,23,40,-11,0,25,-1,-95,59,47,-31
2022-02-09,-100,-29,-100,55,100,-43,100,-46,63,86,67,-72,-19,8,-12,100,61,-67,-100,-50
