time/iterations,time/total_timesteps,time/fps,train/reward,time/time_elapsed,train/approx_kl,train/entropy_loss,train/std,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/loss,train/n_updates,train/explained_variance,train/value_loss,train/clip_fraction
1,2048,1196,-9.113226,1,,,,,,,,,,,
2,4096,1122,0.29870257,3,0.0061108507,-7.083107921481132,0.9954372644424438,0.00025,-0.00355334215273615,0.2,59840.1640625,10,-1.1920928955078125e-07,274130.9700683594,0.0494140625
3,6144,1101,-4.1246443,5,0.006876513,-7.072972130775452,0.9958866238594055,0.00025,-0.00319682291301433,0.2,184403.78125,20,0.0,1299516.9676757813,0.052392578125
4,8192,1084,0.15423094,7,0.0076429676,-7.059598702192306,0.9913997650146484,0.00025,-0.0029704536937060766,0.2,84540.3125,30,0.0,159587.46791992188,0.11240234375
5,10240,1088,-0.2585025,9,0.007963573,-7.04717355966568,0.9899462461471558,0.00025,-0.005428311944706365,0.2,749665.6875,40,0.0,768641.8877929688,0.108984375
6,12288,1098,-1.0675784,11,0.009509473,-7.051009863615036,0.9907376170158386,0.00025,0.007994556333869696,0.2,163748.75,50,0.0,588265.39375,0.29208984375
7,14336,1106,15.105507,12,0.007841888,-7.046834245324135,0.9902769327163696,0.00025,-0.00045565313339466227,0.2,234157.25,60,0.0,495116.6270507813,0.1126953125
8,16384,1113,0.89035094,14,0.0080226455,-7.049958640336991,0.9913290739059448,0.00025,-0.0006755475988029502,0.2,703513.375,70,0.0,1888181.6272460937,0.058984375
9,18432,1118,0.7395047,16,0.0067225667,-7.049236291646958,0.9908734560012817,0.00025,0.001828557692351751,0.2,359523.34375,80,-1.1920928955078125e-07,797044.30234375,0.123828125
10,20480,1120,-0.4789392,18,0.005130659,-7.0488946586847305,0.9911563992500305,0.00025,-0.0009797703780350276,0.2,403597.375,90,0.0,541463.1607421875,0.03056640625
11,22528,1124,-1.6666493,20,0.0063137617,-7.048821693658828,0.9903495907783508,0.00025,-0.002479566835972946,0.2,500163.40625,100,-1.1920928955078125e-07,1268320.7111328125,0.06123046875
12,24576,1127,2.3985748,21,0.0065043103,-7.050353613495827,0.9925557374954224,0.00025,0.0007897558745753486,0.2,911518.1875,110,0.0,1515818.065625,0.04169921875
13,26624,1128,-3.6831958,23,0.004703778,-7.062716606259346,0.9940494298934937,0.00025,0.0012951723343576304,0.2,197560.25,120,0.0,313009.9510742187,0.1333984375
14,28672,1129,-9.500281,25,0.020443443,-7.07397631406784,0.9969221353530884,0.00025,0.014510270794562529,0.2,858010.875,130,0.0,675205.4181640625,0.269091796875
15,30720,1131,33.185024,27,0.038013298,-7.075845387578011,0.9952298998832703,0.00025,0.003942538304545451,0.2,256046.53125,140,0.0,349840.52958984376,0.1419921875
