train/n_updates,train/learning_rate,train/actor_loss,time/fps,train/reward,train/critic_loss,time/total_timesteps,time/time_elapsed,time/episodes
2226,0.001,246.097494517817,98,1.6729678,1758330.807462214,2968,30,4
5194,0.001,704.4849981843943,86,1.6729678,3219332.6489810585,5936,68,8
8162,0.001,1177.7844119316162,83,1.6729678,1897331.6340838738,8904,106,12
11130,0.001,1834.5191381408197,81,1.6729678,1465368.0827130012,11872,145,16
14098,0.001,2327.587222939874,80,1.6729678,793873.9647095056,14840,183,20
17066,0.001,2918.3041664802163,80,1.6729678,944163.695970561,17808,221,24
20034,0.001,3460.7021201408775,80,1.6729678,624639.0729605374,20776,259,28
23002,0.001,3947.5060390256485,79,1.6729678,621046.5084521353,23744,296,32
25970,0.001,4464.165190087496,79,1.6729678,1651152.4117566543,26712,334,36
28938,0.001,4959.567786861944,79,1.6729678,566257.7098108996,29680,372,40
