account_rewards,date
224.60696000000462,2021-05-17
2414.3345500000287,2021-05-18
-3900.7020000000484,2021-05-19
-2766.0870000000577,2021-05-20
-4369.321999999811,2021-05-21
5369.082999999984,2021-05-24
-528.9302600000519,2021-05-25
-2696.0400000000373,2021-05-26
2456.190999999875,2021-05-27
7961.73499999987,2021-05-28
-1333.6500000000233,2021-05-31
-751.0539999998873,2021-06-01
-11704.217999999877,2021-06-02
-3988.7010000001173,2021-06-03
-5537.10400000005,2021-06-04
4446.14599999995,2021-06-07
3020.153000000166,2021-06-08
16582.78899999999,2021-06-09
17193.952999999863,2021-06-10
-4224.740999999805,2021-06-11
-21183.255000000005,2021-06-15
3593.026000000071,2021-06-16
24155.220999999903,2021-06-17
5013.157000000123,2021-06-18
8538.249999999884,2021-06-21
-105884.87600000005,2021-06-22
13545.27199999988,2021-06-23
13446.100000000093,2021-06-24
-3513.9330000001937,2021-06-25
4034.8710000002757,2021-06-28
1297.1269999998622,2021-06-29
-18060.534999999916,2021-06-30
-16618.331000000006,2021-07-01
6352.5510000002105,2021-07-02
-4250.757000000216,2021-07-05
35267.841000000015,2021-07-06
-36.143999999854714,2021-07-07
12592.797999999952,2021-07-08
-5280.0,2021-07-09
-12732.227999999886,2021-07-12
-21244.22000000032,2021-07-13
20671.5830000001,2021-07-14
-18979.420999999973,2021-07-15
-7242.298999999883,2021-07-16
5998.535999999964,2021-07-19
20059.584999999963,2021-07-20
-1022.9439999999013,2021-07-21
174.62139999994542,2021-07-22
-33463.19999999995,2021-07-23
-29136.914740000153,2021-07-26
-1105.307010000106,2021-07-27
26192.043740000227,2021-07-28
-28405.338820000063,2021-07-29
10295.099959999905,2021-07-30
-11268.688219999894,2021-08-02
41793.54680000001,2021-08-03
7244.491669999901,2021-08-04
-4523.689999999944,2021-08-05
-22685.780000000028,2021-08-06
-4197.819999999949,2021-08-09
-5592.850000000093,2021-08-10
13324.770000000019,2021-08-11
