date,600009.SH,600031.SH,600196.SH,600309.SH,600340.SH,600519.SH,600703.SH,600837.SH,601066.SH,601211.SH,601236.SH,601288.SH,601328.SH,601398.SH,601818.SH,601857.SH,601888.SH,601939.SH,601988.SH,603993.SH
2022-07-22,100,100,-81,-100,-9,-55,0,19,-88,86,46,0,56,0,16,62,-20,12,-100,0
2022-07-25,-12,-39,-8,-100,21,100,0,8,25,100,63,0,-100,73,-100,54,74,100,28,98
2022-07-26,0,0,0,-100,-100,62,10,1,-100,-78,-78,0,0,100,-100,-75,-50,1,-100,0
2022-07-27,48,100,-72,0,-75,-51,90,100,-100,-3,100,100,-100,100,100,100,-100,-1,-100,1
2022-07-28,-28,-22,-41,40,100,-8,-100,14,45,46,32,-88,-62,100,100,-82,100,20,-28,100
2022-07-29,66,-100,-66,32,49,38,69,32,10,27,65,-12,-94,-100,-44,78,39,92,0,-100
2022-08-01,54,-39,-32,54,68,23,43,-100,-92,-100,22,0,0,100,41,-100,-100,-53,45,-94
2022-08-02,22,47,62,-100,12,-82,100,100,0,-76,-100,100,0,100,47,100,41,36,-28,100
2022-08-03,-100,100,-6,-26,33,45,-6,24,89,-51,4,42,0,100,-100,24,-100,-32,-17,88
2022-08-04,100,100,-56,26,-100,-59,100,-100,-89,53,-18,40,100,-30,-100,79,-100,-6,0,72
2022-08-05,7,-100,0,-26,59,97,100,-11,0,-100,68,-94,0,75,76,5,-84,-16,0,65
2022-08-08,97,100,0,0,-34,18,43,-100,78,-100,2,-88,-39,75,-10,-62,0,100,0,100
2022-08-09,75,0,0,0,-62,0,0,0,-78,-100,2,0,-61,-100,0,0,0,0,1,0
2022-08-10,21,-25,0,0,-100,0,0,0,0,-4,0,0,0,0,3,-82,0,-100,-1,100
2022-08-11,-100,100,100,0,-46,-100,23,-70,100,0,67,11,0,94,41,-9,84,0,100,-57
2022-08-12,-50,0,-100,0,-99,93,-100,0,25,0,0,8,0,-5,-37,0,0,-35,-83,-2
2022-08-15,22,59,60,26,-17,-4,-78,100,38,100,-24,44,0,4,-100,84,-60,-100,-17,23
2022-08-16,0,-100,3,100,100,4,0,-100,-39,-9,-100,-63,100,-100,9,-54,0,-18,0,-100
2022-08-17,15,-85,66,-100,-72,5,79,100,-33,-72,-20,0,12,54,-35,62,-24,48,43,-19
2022-08-18,100,-5,24,-19,0,-100,15,100,100,-19,100,0,-94,-73,4,-97,0,8,1,69
2022-08-19,100,10,100,-7,69,93,-2,-100,-100,0,0,0,1,-100,-100,-74,0,-27,-44,-100
2022-08-22,-20,-43,0,0,-97,0,-84,-56,-14,0,100,100,0,-31,0,-2,23,-29,32,-24
